,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,,,0.10189473684210526,,,,,,,
s01e02,0.28151409086336066,0.28151409086336066,0.28151409086336066,0.28151409086336066,,0.33238618388661645,,0.28151409086336066,0.375865924605714,0.28151409086336066
s01e03,,,,,,,,,,
s01e04,0.1244372904754417,0.1244372904754417,0.1244372904754417,0.1244372904754417,,0.1244372904754417,0.1244372904754417,0.1244372904754417,0.1244372904754417,0.1244372904754417
s01e05,0.2859454858907805,0.2859454858907805,0.2859454858907805,0.2859454858907805,,0.2859454858907805,0.2859454858907805,0.2859454858907805,0.2859454858907805,0.2859454858907805
s01e06,,,,,,,,,,
s01e07,0.05697278911564626,0.05697278911564626,0.05697278911564626,0.05697278911564626,0.05697278911564626,0.05697278911564626,0.05697278911564626,0.05697278911564626,0.05697278911564626,0.05697278911564626
s01e08,0.2929300288398402,0.2929300288398402,0.3363445852978749,0.2929300288398402,,0.2929300288398402,,0.2929300288398402,0.30721190346460076,0.2929300288398402
s01e09,0.11685609153661135,0.11685609153661135,0.11685609153661135,0.11685609153661135,,0.11685609153661135,,0.11685609153661135,0.5679323398330843,0.11685609153661135
s01e10,0.375948629945049,0.5042060210170353,0.375948629945049,0.375948629945049,,0.375948629945049,,0.5042060210170353,0.375948629945049,0.5042060210170353
s01e11,0.1819614567457129,0.1819614567457129,0.1819614567457129,0.1819614567457129,,0.1819614567457129,0.1819614567457129,0.1819614567457129,0.1819614567457129,0.1819614567457129
s01e12,0.41663174359514416,0.41663174359514416,0.41663174359514416,0.41663174359514416,,0.41663174359514416,,0.41663174359514416,0.1285227929964772,0.41663174359514416
s01e13,0.24134119875566498,0.24134119875566498,0.24134119875566498,0.24134119875566498,,0.30016699871943164,,0.24134119875566498,0.3502417223158744,0.24134119875566498
s01e14,0.1701109977387755,0.1701109977387755,0.1701109977387755,0.1701109977387755,0.1701109977387755,0.18886478337646817,0.1701109977387755,0.1701109977387755,0.3564842349895328,0.1701109977387755
s01e15,0.28387877110920534,0.28387877110920534,0.28387877110920534,0.28387877110920534,,0.28387877110920534,,0.28387877110920534,0.12315789473684209,0.28387877110920534
s01e16,0.24176106968150513,0.24176106968150513,0.24176106968150513,0.24176106968150513,0.1301002265328426,0.24176106968150513,0.1614491899061823,0.24176106968150513,0.4231391406941616,0.24176106968150513
s01e17,0.20206565658445025,0.20206565658445025,0.20206565658445025,0.20206565658445025,,0.20206565658445025,0.2081062148396005,0.20206565658445025,0.29941078932781306,0.20206565658445025
s01e18,,,,,,,,,,
s01e19,0.14762852652245512,0.14762852652245512,0.24153357258449662,0.14762852652245512,,0.14762852652245512,,0.14762852652245512,0.14762852652245512,0.14762852652245512
s01e20,0.1253728486143533,0.1253728486143533,0.1253728486143533,0.1253728486143533,,0.1253728486143533,,0.1253728486143533,0.3554572603067794,0.1253728486143533
s01e21,0.234274934673789,0.234274934673789,0.234274934673789,0.234274934673789,0.08751342642320085,0.234274934673789,0.234274934673789,0.234274934673789,0.234274934673789,0.234274934673789
s01e22,0.32943395065332587,0.32943395065332587,0.32943395065332587,0.32943395065332587,,0.32943395065332587,,0.32943395065332587,0.148949136598804,0.32943395065332587
s01e23,0.3920302214023047,0.3920302214023047,0.3920302214023047,0.3920302214023047,,0.37598805468172625,,0.3920302214023047,0.09698809072986414,0.3920302214023047
s01e24,0.24252235746809456,0.25282314168192227,0.24405692790824257,0.24252235746809456,,0.24405692790824257,,0.25282314168192227,0.1144864536168884,0.24405692790824257
s02e01,0.36329898330071647,0.36329898330071647,0.36329898330071647,0.36329898330071647,,0.41415783568351444,,0.36329898330071647,,0.36329898330071647
s02e02,0.33704076986276427,0.277894336945406,0.277894336945406,0.33704076986276427,,0.277894336945406,0.14934371184371184,0.277894336945406,0.2838862861466505,0.277894336945406
s02e03,0.2221071594632063,0.2221071594632063,0.2221071594632063,0.2221071594632063,,0.2221071594632063,,0.2221071594632063,0.5441986416487324,0.2221071594632063
