,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,0.0,0.0,-3.234408354835699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e02,0.24410072964019852,0.24410072964019852,0.24410072964019852,0.24410072964019852,0.0,0.22591321736119627,0.0,0.24410072964019852,0.1334934223451582,0.24410072964019852
s01e03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e04,0.27676331113495767,0.27676331113495767,0.27676331113495767,0.27676331113495767,1.1102230246251565e-16,0.27676331113495767,0.27676331113495767,0.27676331113495767,0.27676331113495767,0.27676331113495767
s01e05,0.26181920834719274,0.26181920834719274,0.26181920834719274,0.26181920834719274,0.0,0.26181920834719274,0.26181920834719274,0.26181920834719274,0.26181920834719274,0.26181920834719274
s01e06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e07,0.11694944598337952,0.11694944598337952,0.11694944598337952,0.11694944598337952,0.11694944598337952,0.11694944598337952,0.11694944598337952,0.11694944598337952,0.11694944598337952,0.11694944598337952
s01e08,0.0923658590963139,0.0923658590963139,0.09052653091557669,0.0923658590963139,0.0,0.0923658590963139,0.0,0.0923658590963139,0.01917669936583428,0.0923658590963139
s01e09,0.09025417887091278,0.09025417887091278,0.09025417887091278,0.09025417887091278,1.1102230246251565e-16,0.09025417887091278,1.1102230246251565e-16,0.09025417887091278,0.02962880548749666,0.09025417887091278
s01e10,0.096801437791601,0.09230397150621986,0.096801437791601,0.096801437791601,0.0,0.096801437791601,0.0,0.09230397150621986,0.096801437791601,0.09230397150621986
s01e11,0.17856035946632987,0.17856035946632987,0.17856035946632987,0.17856035946632987,0.0,0.17856035946632987,0.17856035946632987,0.17856035946632987,0.17856035946632987,0.17856035946632987
s01e12,0.07288053033047417,0.07288053033047417,0.07288053033047417,0.07288053033047417,0.0,0.07288053033047417,0.0,0.07288053033047417,0.02741193734765178,0.07288053033047417
s01e13,0.1442377970760482,0.1442377970760482,0.1442377970760482,0.1442377970760482,0.0,0.13932680252370808,0.0,0.1442377970760482,0.12758736231265042,0.1442377970760482
s01e14,0.3581988383058985,0.3581988383058985,0.3581988383058985,0.3581988383058985,0.3581988383058985,0.3568565672153635,0.3581988383058985,0.3581988383058985,0.2711896647805213,0.3581988383058985
s01e15,0.05908163265306124,0.05908163265306124,0.05908163265306124,0.05908163265306124,1.1102230246251565e-16,0.05908163265306124,1.1102230246251565e-16,0.05908163265306124,0.005612244897959189,0.05908163265306124
s01e16,0.2475459605329735,0.2475459605329735,0.2475459605329735,0.2475459605329735,0.22318097486928662,0.2475459605329735,0.12439112835216724,0.2475459605329735,0.15864142351155333,0.2475459605329735
s01e17,0.25515325939272204,0.25515325939272204,0.25515325939272204,0.25515325939272204,0.0,0.25515325939272204,0.24276992999763705,0.25515325939272204,0.23108994712901695,0.25515325939272204
s01e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e19,0.15211083676268863,0.15211083676268863,0.14955610425240057,0.15211083676268863,0.0,0.15211083676268863,0.0,0.15211083676268863,0.15211083676268863,0.15211083676268863
s01e20,0.2102021403091558,0.2102021403091558,0.2102021403091558,0.2102021403091558,0.0,0.2102021403091558,0.0,0.2102021403091558,0.11670772889417363,0.2102021403091558
s01e21,0.2647067327849181,0.26470673278491813,0.26470673278491813,0.26470673278491813,0.029196605415721014,0.2647067327849181,0.26470673278491813,0.26470673278491813,0.26470673278491813,0.26470673278491813
s01e22,0.06837804047656962,0.06837804047656962,0.06837804047656962,0.06837804047656962,0.0,0.06837804047656962,0.0,0.06837804047656962,0.02129038973025233,0.06837804047656962
s01e23,0.14774285714285718,0.14774285714285718,0.14774285714285718,0.14774285714285718,1.1102230246251565e-16,0.13896734693877558,1.1102230246251565e-16,0.14774285714285718,0.09685612244897963,0.14774285714285718
s01e24,0.03809575040344271,0.015261381974668604,0.047758814611961437,0.03809575040344271,0.0,0.047758814611961437,0.0,0.015261381974668604,0.010366277079563703,0.047758814611961437
s02e01,0.022378878619427667,0.022378878619427667,0.022378878619427667,0.022378878619427667,1.1102230246251565e-16,0.01712218323065204,1.1102230246251565e-16,0.022378878619427667,1.1102230246251565e-16,0.022378878619427667
s02e02,0.192614648009496,0.205078125,0.205078125,0.192614648009496,0.0,0.20507812499999997,0.09664758719868516,0.205078125,0.11479495754200146,0.205078125
