,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,,,,,,,,,,
s01e02,0.2849100777471054,0.2849100777471054,0.2849100777471054,0.2849100777471054,,0.5365305179055813,,0.2849100777471054,0.2849100777471054,0.2849100777471054
s01e03,0.25404862991386157,0.25404862991386157,0.25404862991386157,0.25404862991386157,,0.25404862991386157,0.25404862991386157,0.25404862991386157,0.25404862991386157,0.25404862991386157
s01e04,0.29720263774037936,0.29720263774037936,0.42222696960928174,0.29720263774037936,,0.2562759282510742,,0.29720263774037936,0.42222696960928174,0.29720263774037936
s01e05,0.2005444004524887,0.2005444004524887,0.2005444004524887,0.2005444004524887,,,,0.31394693040688615,0.2005444004524887,0.2005444004524887
s02e01,,,0.1457725947521866,,,,,,,
s02e02,0.401472228051989,0.401472228051989,0.401472228051989,0.401472228051989,,0.401472228051989,,0.401472228051989,,0.401472228051989
s02e03,0.2617825474531844,0.2617825474531844,0.2617825474531844,0.2617825474531844,,0.2617825474531844,,0.2838721254185137,0.3762863642470775,0.2617825474531844
s02e04,,,,,,,,,,
s02e05,0.4460217883706133,0.4460217883706133,0.18507738725858078,0.4460217883706133,,0.18507738725858078,,0.4460217883706133,0.27008857294090743,0.4460217883706133
s02e06,0.2253036127580808,0.2253036127580808,0.2253036127580808,0.2253036127580808,,0.2253036127580808,,0.2253036127580808,0.2253036127580808,0.2253036127580808
s02e07,0.2596868389388549,0.11415127446357631,0.11415127446357631,0.2596868389388549,,0.11415127446357631,,0.11415127446357631,0.11415127446357631,0.11415127446357631
s02e08,0.3229843180398605,0.3229843180398605,0.3229843180398605,0.3229843180398605,,,,0.3229843180398605,0.37173268862466474,0.3229843180398605
s02e09,,,,,,,,,,
s02e10,0.369667648111745,0.369667648111745,0.481376981943381,0.369667648111745,,0.369667648111745,,0.369667648111745,0.11170933383163599,0.369667648111745
s02e11,,,0.18254366884165013,,,0.18254366884165013,,,,
s02e12,0.25865352126786123,0.39128967852958363,0.39128967852958363,0.25865352126786123,,0.39128967852958363,,0.39128967852958363,,0.39128967852958363
s03e01,0.24793680435137022,,0.21257721702166146,0.24793680435137022,,,,0.24793680435137022,0.21257721702166146,0.24793680435137022
