,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e02,0.1258983023091579,0.1258983023091579,0.1258983023091579,0.1258983023091579,0.0,0.053804561584608945,0.0,0.1258983023091579,0.1258983023091579,0.1258983023091579
s01e03,0.11890370370370372,0.11890370370370372,0.11890370370370372,0.11890370370370372,0.0,0.11890370370370372,0.11890370370370372,0.11890370370370372,0.11890370370370372,0.11890370370370372
s01e04,0.025632774472687907,0.025632774472687907,0.04299621416982154,0.025632774472687907,1.1102230246251565e-16,0.0447268793942672,1.1102230246251565e-16,0.025632774472687907,0.04299621416982154,0.025632774472687907
s01e05,0.020158419366322494,0.020158419366322494,0.020158419366322494,0.020158419366322494,0.0,0.0,0.0,0.010935831256674966,0.020158419366322494,0.020158419366322494
s02e01,1.1102230246251565e-16,1.1102230246251565e-16,-3.550688044433992e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
s02e02,0.08262513585315787,0.08262513585315787,0.08262513585315787,0.08262513585315787,0.0,0.08262513585315787,0.0,0.08262513585315787,0.0,0.08262513585315787
s02e03,0.031963135967680856,0.031963135967680856,0.031963135967680856,0.031963135967680856,0.0,0.031963135967680856,0.0,0.0035727812144930593,0.026175987880318167,0.031963135967680856
s02e04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s02e05,0.0828660189040915,0.0828660189040915,0.0921620728402407,0.0828660189040915,1.1102230246251565e-16,0.0921620728402407,1.1102230246251565e-16,0.0828660189040915,0.09099213431158712,0.0828660189040915
s02e06,0.1112537781891898,0.1112537781891898,0.1112537781891898,0.1112537781891898,0.0,0.1112537781891898,0.0,0.1112537781891898,0.1112537781891898,0.1112537781891898
s02e07,0.18049991988463387,0.2235730563122007,0.2235730563122007,0.18049991988463387,0.0,0.2235730563122007,0.0,0.2235730563122007,0.2235730563122007,0.2235730563122007
