,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,1,1,1,1,1,1,1,1,1,1
s01e02,3,3,3,3,1,4,1,3,3,3
s01e03,2,2,2,2,1,2,2,2,2,2
s01e04,2,2,3,2,1,2,1,2,3,2
s01e05,2,2,2,2,1,1,1,2,2,2
s02e01,1,1,2,1,1,1,1,1,1,1
s02e02,2,2,2,2,1,2,1,2,1,2
s02e03,2,2,2,2,1,2,1,2,3,2
s02e04,1,1,1,1,1,1,1,1,1,1
s02e05,3,3,2,3,1,2,1,3,3,3
s02e06,2,2,2,2,1,2,1,2,2,2
s02e07,2,2,2,2,1,2,1,2,2,2
s02e08,3,3,3,3,1,1,1,3,3,3
s02e09,1,1,1,1,1,1,1,1,1,1
s02e10,2,2,3,2,1,2,1,2,2,2
s02e11,1,1,2,1,1,2,1,1,1,1
s02e12,2,2,2,2,1,2,1,2,1,2
s03e01,2,1,2,2,1,1,1,2,2,2
s03e02,1,2,2,1,1,2,1,1,1,1
s03e03,3,3,4,3,1,1,1,2,3,3
s03e04,2,2,2,2,1,3,1,2,2,2
s03e05,2,2,2,2,1,2,1,2,5,2
s03e06,2,1,2,2,1,1,1,1,1,1
s03e07,2,2,2,2,1,1,1,2,2,2
s03e08,1,1,2,1,1,1,1,1,1,1
s03e09,2,2,2,2,1,2,1,2,3,2
s03e10,3,3,4,3,1,3,1,2,2,2
s03e11,1,1,2,1,1,1,1,1,1,1
s03e12,1,1,1,1,1,1,1,1,1,1
s03e13,4,4,1,4,3,4,3,4,5,4
s03e14,3,3,3,3,1,2,1,3,2,3
s03e15,2,2,2,2,1,2,1,2,3,2
s03e16,2,2,2,2,1,2,1,2,2,2
s03e17,3,3,3,3,1,3,1,3,5,3
s03e18,2,2,2,2,1,2,2,2,2,2
s03e19,2,2,2,2,1,2,1,2,5,2
s03e20,3,3,3,3,1,4,1,3,5,3
s03e21,2,2,2,2,1,1,1,1,2,1
s03e22,2,2,2,2,1,2,1,2,6,2
s04e01,3,4,4,3,3,3,1,4,3,3
s04e02,4,4,1,4,2,2,2,4,3,4
s04e03,3,3,1,3,2,3,2,3,4,3
s04e04,2,2,2,2,1,2,1,2,5,2
s04e05,3,3,1,3,2,3,2,3,3,3
s04e06,4,4,5,4,1,5,3,4,4,4
s04e07,2,3,3,2,1,3,1,3,4,3
s04e08,3,3,1,3,2,3,2,3,3,3
s04e09,3,3,3,3,1,4,2,3,4,3
s04e10,2,2,2,2,1,2,1,2,2,2
s04e11,2,3,3,2,2,2,2,3,2,3
s04e12,3,4,4,3,2,3,2,4,2,4
s04e13,2,2,2,2,2,2,2,2,2,2
s04e14,1,1,2,1,1,1,1,1,1,1
s04e15,2,2,2,2,1,1,1,2,1,2
s04e16,3,3,3,3,1,3,1,3,3,3
s04e17,2,2,3,2,1,2,1,2,5,2
s04e18,2,2,2,2,2,3,2,2,2,2
s04e19,2,2,2,2,1,3,1,2,1,2
s04e20,2,2,2,2,1,3,1,2,8,2
s04e21,2,2,2,2,2,4,2,2,2,2
s04e22,4,5,6,4,1,5,1,5,7,5
s05e01,2,2,2,2,1,2,1,2,1,2
s05e02,2,2,2,2,1,2,1,2,6,2
s05e03,2,2,2,2,1,2,1,2,2,2
s05e04,3,2,3,3,2,3,2,3,2,3
s05e05,1,1,1,1,1,1,1,1,1,1
s05e06,3,3,3,3,1,3,1,3,7,3
s05e07,3,3,2,3,1,2,1,2,2,2
s05e08,3,3,3,3,1,3,1,3,3,3
s05e09,2,2,2,2,2,3,2,2,2,2
s05e10,2,2,2,2,1,2,1,2,2,2
s05e11,2,2,2,2,1,2,2,2,2,2
s05e12,2,2,2,2,1,2,1,2,2,2
s05e13,2,2,2,2,1,2,2,2,2,2
s05e14,3,2,2,3,1,2,1,2,5,2
s05e15,4,4,1,4,3,4,2,4,5,4
s05e16,3,3,1,3,3,3,3,3,3,3
s05e17,2,2,2,2,1,2,2,2,2,2
s05e18,2,2,2,2,1,2,1,2,6,2
s05e19,3,3,3,3,1,2,2,3,3,3
s05e20,2,2,2,2,1,2,1,2,2,2
s05e21,5,5,6,5,3,4,4,5,6,4
s06e01,3,3,5,3,1,3,2,3,3,3
s06e02,3,3,3,3,1,3,1,3,4,3
s06e03,3,3,3,3,1,4,1,3,7,3
s06e04,4,3,3,4,1,4,1,3,6,3
s06e05,2,2,2,2,2,2,2,2,2,2
s06e06,3,3,3,3,1,3,2,3,5,3
s06e07,2,2,2,2,1,2,1,2,3,2
s06e08,4,4,4,4,1,6,1,4,3,4
s06e09,2,3,3,2,1,3,1,3,2,3
s06e10,2,2,3,2,1,2,1,2,2,2
s06e11,4,3,3,4,1,5,1,3,3,3
s06e12,2,3,3,2,1,3,1,3,2,3
s06e13,3,3,3,3,2,3,2,3,2,3
s06e15,2,2,2,2,1,2,1,2,2,2
s06e16,4,3,4,4,2,2,2,4,9,4
s06e17,3,3,3,3,3,3,2,3,3,3
s06e18,2,2,3,2,1,3,1,2,1,2
s06e19,3,3,3,3,2,4,2,3,3,3
s06e20,2,2,2,2,1,2,1,2,3,2
s06e21,4,4,4,4,4,4,2,4,4,4
s06e22,3,3,3,3,2,3,2,3,6,3
s06e23,2,2,2,2,1,2,1,2,5,2
s07e01,2,2,4,2,1,2,2,2,2,2
s07e02,2,2,2,2,1,2,1,2,2,2
s07e03,5,3,3,5,2,3,2,3,4,3
s07e04,3,3,3,3,1,4,1,3,3,3
s07e05,3,3,3,3,1,2,1,3,2,3
s07e06,2,3,3,2,1,2,2,3,5,3
s07e07,3,3,3,3,1,3,1,3,4,3
s07e08,3,3,4,3,1,3,1,3,4,3
s07e09,3,4,3,3,2,3,2,4,3,3
s07e10,2,2,2,2,1,2,2,2,3,2
s07e11,2,2,2,2,1,2,1,2,2,2
s07e12,3,4,4,3,2,3,2,4,5,4
s07e13,2,2,2,2,2,2,2,2,2,2
s07e14,3,2,3,3,1,3,2,3,5,3
s07e15,3,3,3,3,1,4,1,3,5,3
s07e16,3,3,3,3,1,3,2,3,5,3
s07e17,3,3,3,3,3,3,1,3,3,3
s07e18,3,3,3,3,1,3,1,3,3,3
s07e19,2,2,2,2,1,2,1,2,2,2
s07e20,3,3,3,3,3,3,3,3,4,3
s07e21,2,2,2,2,1,2,1,2,5,2
s07e22,3,2,3,3,2,3,2,3,2,2
s08e01,3,4,4,3,2,4,2,4,4,4
s08e02,3,3,3,3,2,3,1,3,6,3
s08e03,3,3,3,3,1,4,1,3,4,3
s08e04,2,2,2,2,1,2,1,2,2,2
s08e05,4,4,4,4,1,4,1,4,4,4
s08e06,3,3,3,3,1,3,1,3,6,3
s08e07,3,4,1,3,2,4,2,4,4,4
s08e08,2,3,2,2,1,2,2,3,2,3
s08e09,3,3,4,3,1,3,1,3,2,3
s08e10,4,4,1,4,3,4,3,4,7,4
s08e11,3,3,5,3,1,3,1,3,6,3
s08e12,3,4,4,3,1,4,1,4,2,4
s08e13,3,4,1,3,2,3,3,4,7,4
s08e14,3,3,3,3,1,3,2,3,3,3
s08e15,2,2,2,2,1,2,1,2,2,2
s08e16,2,2,2,2,1,2,1,2,6,2
s08e17,3,3,3,3,3,4,2,3,5,3
s08e18,3,3,1,3,2,3,2,3,7,3
s08e19,3,3,4,3,1,3,1,3,6,3
s08e20,3,3,3,3,1,3,3,3,5,3
s08e21,3,3,3,3,2,2,1,3,5,3
s08e22,3,3,3,3,1,3,1,3,2,3
s09e01,3,3,3,3,2,2,2,3,2,3
s09e02,3,3,3,3,1,4,1,3,6,3
s09e03,2,2,2,2,1,2,1,2,1,2
s09e04,2,2,2,2,1,2,1,2,5,2
s09e05,3,3,3,3,2,3,1,3,3,3
s09e06,3,3,3,3,1,3,1,3,5,3
s09e07,2,2,2,2,1,1,1,2,3,2
s09e08,3,3,3,3,1,3,1,3,3,3
s09e09,3,3,3,3,1,3,1,3,10,3
s09e10,3,3,3,3,1,2,1,3,3,3
s09e11,3,3,3,3,2,3,3,3,3,3
s09e12,2,2,3,2,1,2,1,2,4,2
s09e13,4,4,4,4,1,4,1,4,2,4
s09e14,3,3,3,3,1,4,1,3,2,3
s09e15,3,3,3,3,1,3,2,3,5,3
s09e16,3,3,3,3,1,4,1,3,3,3
s09e17,3,3,3,3,2,4,2,3,2,3
s09e18,3,3,3,3,2,4,1,3,2,3
s09e19,3,3,3,3,1,3,1,3,9,3
s09e20,4,4,4,4,1,4,1,4,8,4
s09e22,8,8,1,8,4,9,5,8,9,8
