,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,0.18135413864227423,0.18135413864227423,0.18135413864227423,0.18135413864227423,,0.41404627387678233,,0.18135413864227423,0.18135413864227423,0.18135413864227423
s01e02,,,,,,,,,,
s01e03,0.3278677761418878,0.31035532791454956,0.31035532791454956,0.3278677761418878,,0.31035532791454956,,0.31035532791454956,,0.31035532791454956
s01e04,0.37633570403055283,0.37633570403055283,0.37633570403055283,0.37633570403055283,,0.37633570403055283,,0.37633570403055283,0.5110368824817313,0.37633570403055283
s01e05,0.2647988778593008,,0.34124230550866363,0.2647988778593008,,,,0.34124230550866363,0.2647988778593008,0.34124230550866363
s01e06,0.3241712172784192,0.2515806206497343,0.2515806206497343,0.3241712172784192,,0.45989706797343927,,0.45989706797343927,0.45989706797343927,0.2515806206497343
s01e07,0.3648679309465738,0.3648679309465738,0.3648679309465738,0.3648679309465738,,0.3648679309465738,,0.3648679309465738,0.5050633085828921,0.3648679309465738
s01e08,0.2827360585704616,0.2827360585704616,0.2827360585704616,0.2827360585704616,,,,0.2827360585704616,0.2827360585704616,0.2827360585704616
s01e09,,,,,,,,,,
s01e10,0.3351394678646003,0.3351394678646003,0.3351394678646003,0.3351394678646003,,0.3351394678646003,,0.3351394678646003,0.24037237484194976,0.3351394678646003
s01e11,0.3953767423296002,0.34779392303183215,0.34779392303183215,0.3953767423296002,,0.34779392303183215,,0.34779392303183215,0.5027437299816391,0.34779392303183215
s01e12,,,,,,,,,,
s01e13,0.40975869366256445,0.40975869366256445,0.40975869366256445,0.40975869366256445,,0.40975869366256445,,0.40975869366256445,0.40975869366256445,0.40975869366256445
s01e14,,,,,,,,,,
s01e15,,,,,,,,,,
s01e16,0.20666179087984823,0.20666179087984823,0.20666179087984823,0.20666179087984823,,0.20666179087984823,,0.20666179087984823,0.20666179087984823,0.20666179087984823
s01e17,,,,,,,,,,
s02e01,,,0.14648033126293994,,,,,,,
s02e02,0.3219676594058437,0.3219676594058437,0.3219676594058437,0.3219676594058437,,0.3219676594058437,,0.3219676594058437,0.3219676594058437,0.3219676594058437
s02e03,0.39377461577468026,0.39377461577468026,0.39377461577468026,0.39377461577468026,,0.39377461577468026,,0.39377461577468026,0.35760141056188977,0.39377461577468026
s02e04,0.18209198209198207,0.18209198209198207,0.18209198209198207,0.18209198209198207,,,,0.18209198209198207,0.18209198209198207,0.18209198209198207
s02e05,0.11470070422535211,0.11470070422535211,0.11470070422535211,0.11470070422535211,,0.2729229015935702,,0.11470070422535211,0.11470070422535211,0.11470070422535211
s02e06,0.45416257875413435,0.45416257875413435,0.5063761033076706,0.45416257875413435,,0.5063761033076706,,0.45416257875413435,0.2528290388749225,0.2187619529210441
s02e07,,,,,,,,,,
s02e08,0.23836537174883038,0.2311209637678352,0.2311209637678352,0.23836537174883038,,,,,,
