,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,0.004154087670571212,0.004154087670571212,0.004154087670571212,0.004154087670571212,0.0,0.0022938050960029733,0.0,0.0,0.004154087670571212,0.0
s01e02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e03,0.02039483234141383,0.04248116965855395,0.04248116965855395,0.02039483234141383,0.0,0.04248116965855395,0.0,0.04248116965855395,0.0,0.04248116965855395
s01e04,0.018437928168729415,0.018437928168729415,0.018437928168729415,0.018437928168729415,0.0,0.018437928168729415,0.0,0.018437928168729415,0.0035741560162619555,0.018437928168729415
s01e05,0.013066538218958985,0.022927649699682445,0.022927649699682445,0.013066538218958985,0.0,0.013066538218958985,0.0,0.022927649699682445,0.0010751286029448957,0.022927649699682445
s01e06,0.005359604220881397,0.00788755755097377,0.00788755755097377,0.005359604220881397,0.0,0.00788755755097377,0.0,0.0,0.00788755755097377,0.0
s01e07,0.022687759485319946,0.022687759485319946,0.022687759485319946,0.022687759485319946,0.0,0.022687759485319946,0.0,0.022687759485319946,0.008991150837545423,0.022687759485319946
s01e08,1.1102230246251565e-16,1.1102230246251565e-16,0.01426089539425968,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.01426089539425968,0.01426089539425968
s01e09,0.015354167212268356,0.015354167212268356,0.0,0.015354167212268356,0.015354167212268356,0.015354167212268356,0.015354167212268356,0.015354167212268356,0.015354167212268356,0.015354167212268356
s01e10,0.01493355554580936,0.01493355554580936,0.021889878124253807,0.01493355554580936,0.0,0.021889878124253807,0.0,0.021889878124253807,0.01493355554580936,0.021889878124253807
s01e11,0.017037999999999998,0.04720000000000002,0.04720000000000002,0.017037999999999998,0.0,0.04720000000000002,0.0,0.04720000000000002,0.025672000000000018,0.04720000000000002
s01e12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e13,0.01642502893701009,0.01642502893701009,0.01642502893701009,0.01642502893701009,0.0,0.01642502893701009,0.0,0.01642502893701009,0.01642502893701009,0.01642502893701009
s01e14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s01e16,0.13652221679687498,0.13652221679687498,0.13652221679687498,0.13652221679687498,0.0,0.13652221679687498,0.0,0.13652221679687498,0.13652221679687498,0.13652221679687498
s01e17,0.01075865128660159,0.01075865128660159,0.01075865128660159,0.01075865128660159,0.0,0.008463215153736362,0.0,0.01075865128660159,0.0,0.01075865128660159
s02e01,0.0,0.0007651272671848897,0.0,0.0,0.0,0.0007651272671848897,0.0,0.0007651272671848897,0.0,0.0007651272671848897
s02e02,0.022270033524781643,0.022270033524781643,0.022270033524781643,0.022270033524781643,0.0,0.022270033524781643,0.0,0.022270033524781643,0.022270033524781643,0.022270033524781643
s02e03,0.11810926036089642,0.11810926036089642,0.11810926036089642,0.11810926036089642,0.09153777513384889,0.11810926036089642,0.09153777513384889,0.11810926036089642,0.09520622645250854,0.11810926036089642
s02e04,0.08887621407314929,0.08887621407314929,0.08887621407314929,0.08887621407314929,0.0,0.08887621407314929,0.0,0.08887621407314929,0.04823878839876039,0.08887621407314929
s02e05,0.014480810704832864,0.014480810704832864,0.014480810704832864,0.014480810704832864,1.1102230246251565e-16,0.012581487109107085,1.1102230246251565e-16,0.014480810704832864,0.014480810704832864,0.014480810704832864
