,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,0.3424829651722095,0.36178196191481515,,0.3424829651722095,,0.18717982011342532,,0.20559605136672804,0.20559605136672804,0.20559605136672804
s01e02,0.44380203282556824,0.44380203282556824,0.47060187057553055,0.44380203282556824,,0.4167482468843142,,0.2601393685375728,0.5323834392112486,0.2601393685375728
s01e03,0.373832797077581,0.373832797077581,0.373832797077581,0.373832797077581,,0.373832797077581,,0.373832797077581,0.29701069662589463,0.373832797077581
s01e04,0.21378751179543676,0.21378751179543676,0.21378751179543676,0.21378751179543676,0.07411258332310963,0.2594557324636574,0.21117667477661903,0.21378751179543676,0.21378751179543676,0.21378751179543676
s01e05,0.3215115177278506,0.39569314414532997,0.39569314414532997,0.3215115177278506,,0.5301896230595058,,0.39569314414532997,0.20861612756766018,0.39569314414532997
s01e06,0.1278370111359802,0.1278370111359802,0.1278370111359802,0.1278370111359802,,0.1278370111359802,0.1278370111359802,0.1278370111359802,0.1278370111359802,0.1278370111359802
s02e01,0.25842564953403735,0.264230796134391,0.264230796134391,0.25842564953403735,,0.25842564953403735,,0.264230796134391,0.26048864644997544,0.264230796134391
s02e02,0.13713926258586573,0.17169807677320206,0.17169807677320206,0.13713926258586573,,0.13713926258586573,,0.17169807677320206,0.13713926258586573,0.17169807677320206
s02e03,0.10053214279746005,0.10053214279746005,0.10053214279746005,0.10053214279746005,0.10053214279746005,0.10053214279746005,0.10053214279746005,0.10053214279746005,0.10053214279746005,0.10053214279746005
s02e04,0.47066911830925673,0.47066911830925673,0.47066911830925673,0.47066911830925673,,0.47066911830925673,,0.47066911830925673,0.42210509138794194,0.47066911830925673
s02e05,0.30743795312184896,0.30743795312184896,0.30743795312184896,0.22963903886919024,,0.28667590416017097,,0.30743795312184896,0.31642537294627326,0.30743795312184896
s02e06,0.34012264436779066,0.34012264436779066,0.34012264436779066,0.34012264436779066,,,,0.1771769281766384,0.34012264436779066,0.34012264436779066
