,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,0.09940485038968759,0.10079848796958941,0.0,0.09940485038968759,0.0091741170974112,0.0956061925290407,0.0091741170974112,0.07566522967147317,0.07566522967147317,0.07566522967147317
s01e02,0.08539991290463055,0.08539991290463055,0.08618086805051528,0.08539991290463055,0.0,0.08395412977210046,0.0,0.08023225431847877,0.050712730439831606,0.08023225431847877
s01e03,0.12764883661228965,0.12764883661228965,0.12764883661228965,0.12764883661228965,0.0,0.12764883661228965,0.0,0.12764883661228965,0.08721615440266976,0.12764883661228965
s01e04,0.28217593334401536,0.28217593334401536,0.28217593334401536,0.28217593334401536,0.029222880948565944,0.2667777599743631,0.2513347219996795,0.28217593334401536,0.28217593334401536,0.28217593334401536
s01e05,0.04489873075884423,0.06731298946799895,0.06731298946799895,0.04489873075884423,0.0,0.030041279271633078,0.0,0.06731298946799895,0.05914509471085223,0.06731298946799895
s01e06,0.20437406287185794,0.20437406287185794,0.20437406287185794,0.20437406287185794,0.0,0.20437406287185794,0.20437406287185794,0.20437406287185794,0.20437406287185794,0.20437406287185794
s02e01,0.14695119865941653,0.14698967203584007,0.14698967203584007,0.14695119865941653,0.0,0.14695119865941653,0.0,0.14698967203584007,0.02941075886597589,0.14698967203584007
s02e02,0.24958794786197308,0.2512926143865842,0.25129261438658423,0.24958794786197308,0.0,0.24958794786197308,0.0,0.2512926143865842,0.24958794786197308,0.2512926143865842
s02e03,0.3702906591164167,0.3702906591164167,0.3702906591164167,0.3702906591164167,0.3702906591164167,0.3702906591164167,0.3702906591164167,0.3702906591164167,0.3702906591164167,0.3702906591164167
s02e04,0.1452825263796518,0.1452825263796518,0.1452825263796518,0.1452825263796518,0.0,0.1452825263796518,0.0,0.1452825263796518,0.0932392607524748,0.1452825263796518
s02e05,0.18058453010833958,0.1805845301083396,0.18058453010833958,0.18058453010833958,0.0,0.16607709750566896,0.0,0.18058453010833958,0.14759889140841514,0.18058453010833958
s02e06,0.0206681862146401,0.0206681862146401,0.0206681862146401,0.0206681862146401,0.0,0.0,0.0,0.015028225733259685,0.0206681862146401,0.0206681862146401
s02e07,0.43155914657240246,0.43155914657240246,0.43155914657240246,0.43155914657240246,0.43155914657240246,0.43155914657240246,0.43155914657240246,0.43155914657240246,0.43155914657240246,0.43155914657240246
s02e08,0.06688132671524281,0.07144450828891391,0.07144450828891391,0.06688132671524281,0.0,0.025941060687564244,0.0,0.05668217272238255,0.004307973495036535,0.05668217272238255
s02e09,0.2022850658597365,0.2022850658597365,0.2022850658597365,0.2022850658597365,0.0,0.2022850658597365,0.0,0.2022850658597365,0.13192219453344411,0.2022850658597365
s02e10,0.09090384837184266,0.09090384837184266,0.09090384837184265,0.09090384837184266,0.0,0.06775372362704843,0.0,0.09090384837184266,0.05578611478139814,0.09090384837184266
s02e11,0.2007768529528339,0.2007768529528339,0.2007768529528339,0.2007768529528339,0.0,0.2007768529528339,0.0,0.2007768529528339,0.1695415510635486,0.2007768529528339
s02e12,0.06576199826036207,0.07378822693869999,0.07378822693869999,0.06576199826036207,0.0,0.07027967371871696,0.0,0.07378822693869999,0.06719989120179515,0.07378822693869999
s02e13,0.12088664948903823,0.08319230937199754,0.12088664948903824,0.12088664948903824,0.0,0.11797700672547809,0.0,0.08319230937199754,0.11391005764695596,0.12088664948903824
s02e14,0.20322333441840287,0.20322333441840287,0.20322333441840285,0.20322333441840285,0.17837185329861116,0.17837185329861116,0.17837185329861116,0.20322333441840285,0.20322333441840285,0.20322333441840285
s02e15,0.3354363017631324,0.3354363017631324,0.3354363017631324,0.3354363017631324,0.3354363017631324,0.3354363017631324,0.0,0.3354363017631324,0.3326254528867717,0.3354363017631324
s02e16,0.49711901883257636,0.49711901883257636,0.4971190188325763,0.49711901883257636,0.49711901883257636,0.49711901883257636,0.49711901883257636,0.49711901883257636,0.49711901883257636,0.49711901883257636
s02e17,0.1456156631960163,0.1456156631960163,0.1456156631960163,0.1456156631960163,0.0,0.10662743322770482,0.0,0.1456156631960163,0.06727931190583972,0.1456156631960163
s02e18,0.0988601680384088,0.09363640260631007,0.0988601680384088,0.0988601680384088,0.0,0.09646476337448563,0.0,0.097360682441701,0.03549339849108368,0.0988601680384088
s02e19,0.09328233301827349,0.09328233301827349,0.09649528722957361,0.09328233301827349,1.1102230246251565e-16,0.09328233301827349,1.1102230246251565e-16,0.09328233301827349,0.06415570520898975,0.09328233301827349
