,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s01e01,4,4,1,4,2,3,2,4,3,4
s01e02,3,3,4,3,1,3,1,2,5,3
s01e03,3,3,3,3,1,3,1,3,4,3
s01e04,3,3,3,3,2,3,3,3,3,3
s01e05,3,3,3,3,1,5,1,3,2,3
s01e06,2,2,2,2,1,2,2,2,2,2
s02e01,3,3,4,3,1,3,1,3,5,3
s02e02,2,3,3,2,1,2,1,3,2,3
s02e03,2,2,2,2,2,2,2,2,2,2
s02e04,3,3,3,3,1,3,1,3,4,3
s02e05,4,4,4,3,1,4,1,4,5,4
s02e06,3,2,3,3,1,1,1,2,3,2
s02e07,2,2,2,2,2,2,2,2,2,2
s02e08,3,3,3,3,1,2,1,3,4,3
s02e09,2,2,3,2,1,2,1,2,5,2
s02e10,3,3,3,3,1,4,1,3,7,3
s02e11,2,2,2,2,1,2,1,2,3,2
s02e12,2,2,2,2,1,3,1,2,2,2
s02e13,3,2,3,3,1,3,1,3,5,3
s02e14,3,2,3,3,2,2,2,3,3,3
s02e15,3,3,3,3,3,3,2,3,4,3
s02e16,3,3,4,3,3,3,3,3,3,3
s02e17,3,3,3,3,1,3,1,3,2,3
s02e18,4,3,4,4,1,5,1,3,2,3
s02e19,2,2,3,2,1,2,1,2,5,3
s02e20,2,2,3,2,1,2,1,2,3,2
s02e21,3,3,3,3,1,3,1,3,7,3
s02e22,3,3,3,3,1,3,1,3,4,3
s03e01,3,3,3,3,2,2,2,3,2,3
s03e02,4,4,1,4,4,4,2,4,7,4
s03e03,3,3,1,3,3,3,3,3,3,3
s03e04,2,2,1,2,2,2,2,2,2,2
s03e05,3,3,3,3,2,5,2,3,3,3
s03e06,3,3,1,3,3,3,2,3,3,3
s03e07,3,3,3,3,3,3,3,3,4,3
s03e08,3,3,3,3,1,3,1,3,4,3
s03e09,3,3,3,3,1,3,1,3,5,3
s03e10,2,2,2,2,1,2,2,2,4,2
s03e12,2,2,2,2,1,2,1,2,2,2
s03e13,3,3,3,3,1,3,2,3,4,3
s03e14,5,4,1,5,2,4,2,4,5,4
s03e15,3,3,4,3,1,3,1,3,6,3
s03e16,4,4,1,4,4,5,4,4,6,4
s03e17,4,4,1,4,4,4,4,4,4,4
s03e18,3,3,1,3,3,3,3,3,3,3
s03e19,2,2,3,2,1,2,1,2,2,2
s03e20,2,3,3,2,1,3,1,3,4,3
s03e21,4,4,4,4,2,4,2,4,4,4
s03e22,2,2,3,2,1,2,1,2,5,2
s03e23,3,3,3,3,1,3,1,3,6,3
s03e24,3,3,3,3,1,3,2,3,5,4
s04e01,4,4,4,4,1,3,1,4,9,4
s04e03,3,3,3,3,1,4,1,3,2,3
s04e05,4,4,5,4,1,2,1,4,9,4
s04e07,3,3,4,3,1,4,1,3,7,3
s04e09,3,3,4,3,2,4,2,3,5,3
s04e10,2,2,2,2,2,3,2,2,2,2
s04e11,3,3,3,3,1,4,1,3,3,3
s04e12,2,2,2,2,3,2,2,2,2,2
s04e13,3,3,3,3,1,3,1,2,4,3
s04e14,3,3,3,3,2,3,1,3,3,3
s04e15,2,2,2,2,1,2,2,2,2,2
s04e16,3,3,3,3,1,3,1,3,5,3
s04e17,3,3,3,3,3,4,2,3,3,3
s04e18,3,3,3,3,1,2,1,3,5,3
s05e01,4,4,4,4,1,4,1,4,6,4
s05e03,2,2,2,2,1,2,1,2,4,2
s05e04,3,3,3,3,2,2,2,3,2,3
s05e05,3,3,3,3,3,3,3,2,3,3
s05e06,3,3,3,3,5,3,4,3,4,3
s05e07,3,2,3,3,1,3,1,3,5,2
s05e08,3,3,1,3,3,3,2,3,4,3
s05e09,4,4,4,4,1,4,1,4,4,4
s05e10,3,3,1,3,2,3,2,3,2,3
s05e11,3,3,4,3,1,4,2,3,6,3
s05e12,3,2,3,3,1,5,1,3,4,3
s05e13,2,2,3,2,2,2,2,2,2,2
s05e14,4,4,5,4,2,4,2,4,6,4
s05e16,3,3,3,3,3,3,3,3,3,3
s05e17,3,3,1,3,2,3,3,3,5,3
s05e18,3,3,4,3,1,2,2,3,2,3
s05e19,3,2,3,3,1,2,1,2,4,2
s05e20,2,2,3,2,1,2,1,2,2,2
s05e21,3,3,3,3,1,3,1,3,3,2
s05e22,2,2,2,2,2,2,2,2,2,2
s05e23,4,4,4,4,4,4,3,4,4,4
s05e24,3,2,3,3,3,2,2,3,3,3
s05e25,2,2,2,2,1,2,2,2,3,2
s05e26,3,3,4,3,1,4,1,3,2,3
s05e27,3,4,3,3,1,3,1,4,9,4
s05e28,4,3,4,4,2,3,2,3,3,3
s06e01,2,2,3,2,1,2,1,2,3,2
s06e02,3,3,3,3,3,3,2,3,3,3
s06e03,3,3,3,3,1,3,1,3,4,3
s06e04,3,3,4,3,1,2,1,3,8,3
s06e06,3,3,3,3,2,3,2,3,8,3
s06e07,3,3,3,3,1,4,1,3,2,3
s06e08,3,3,3,3,2,3,2,3,2,3
s06e09,3,3,3,3,1,2,1,3,2,3
s06e10,3,2,2,3,1,2,1,2,5,2
s06e11,3,3,3,3,1,5,1,3,6,3
s06e12,2,3,2,2,2,2,2,2,2,2
s06e13,3,3,3,3,1,2,1,2,5,3
s06e14,3,3,2,3,1,4,1,3,5,3
s06e15,4,4,3,4,1,4,2,4,4,4
s06e16,3,3,3,3,1,3,1,3,3,3
s06e17,3,2,3,3,1,3,1,3,5,3
s06e19,3,3,3,3,3,3,3,3,3,3
s06e20,3,3,3,3,1,3,1,3,6,3
s06e21,4,4,4,4,4,6,4,4,6,4
s06e22,3,3,3,3,1,3,1,3,2,3
s06e23,2,2,2,2,2,2,2,2,2,2
s06e24,3,3,4,3,1,3,1,3,3,3
s06e25,3,3,3,3,1,3,1,3,3,3
s06e26,3,2,3,3,2,2,1,3,7,3
s07e01,3,3,3,3,1,4,1,3,4,3
s07e02,4,4,4,4,2,4,2,4,5,3
s07e03,3,3,3,3,2,3,2,3,5,3
s07e04,2,2,3,2,2,2,2,2,2,2
s07e05,3,3,3,3,1,3,1,2,2,2
s07e06,4,4,4,4,1,4,1,4,4,4
s07e07,3,3,3,3,3,2,2,3,2,3
s07e08,3,3,3,3,1,3,2,3,2,3
s07e09,2,2,2,2,3,2,2,2,2,2
s07e10,2,2,2,2,1,2,1,2,3,2
s07e11,4,4,4,4,1,6,1,4,4,4
s07e13,2,2,2,2,2,2,2,2,2,2
s07e14,4,4,5,4,4,5,4,4,4,4
s07e15,2,2,2,2,3,2,2,2,2,2
s07e16,3,3,3,3,1,3,3,3,3,3
s07e17,4,4,5,4,1,9,1,4,4,4
s07e18,2,2,3,2,1,2,2,2,3,2
s07e19,3,3,3,3,1,4,1,3,7,3
s07e20,3,3,3,3,1,1,1,3,6,3
s07e21,2,2,3,2,1,2,1,2,3,2
s07e22,4,4,5,4,2,3,1,4,9,4
s07e23,3,3,3,3,1,3,1,3,2,3
s07e24,3,3,3,3,1,2,1,2,4,3
s07e25,2,2,3,2,1,2,1,2,6,2
s08e01,2,2,2,2,1,2,1,2,2,2
s08e02,3,3,3,3,1,2,1,3,4,3
s08e03,2,2,3,2,1,2,1,2,3,2
s08e04,3,3,1,3,2,3,2,3,5,3
s08e05,3,3,3,3,1,3,1,3,3,3
s08e06,3,3,3,3,2,3,2,3,4,3
s08e07,2,3,3,2,2,3,2,3,3,3
s08e08,3,3,3,3,2,5,2,3,9,3
s08e09,3,3,3,3,1,4,1,3,4,3
s08e10,3,3,3,3,2,3,2,3,3,3
s08e11,3,3,5,3,2,4,2,3,2,3
s08e12,2,2,2,2,2,2,2,2,3,2
s08e13,2,3,3,2,1,2,2,3,5,3
s08e14,3,3,1,3,2,3,2,3,2,3
s08e15,2,2,2,2,2,2,2,2,2,2
s08e16,3,3,1,3,3,3,3,3,3,3
s08e17,2,2,1,2,3,2,2,2,2,2
s08e18,3,3,4,3,4,4,3,3,4,3
s08e19,2,2,3,2,2,2,2,2,2,2
s08e20,2,2,1,2,2,2,2,2,2,2
s08e21,3,3,3,3,1,2,1,3,3,2
s08e22,2,2,3,2,1,2,1,2,2,2
s08e23,3,3,3,3,1,2,2,3,3,3
s08e24,4,5,1,4,2,6,2,4,9,4
s09e01,4,4,5,4,1,4,1,4,6,4
s09e02,3,3,3,3,1,3,3,3,3,3
s09e03,3,4,3,3,2,4,5,4,3,4
s09e04,3,3,3,3,1,2,1,3,3,3
s09e05,4,4,4,4,3,5,3,4,6,4
s09e06,3,3,3,3,3,3,3,3,3,3
s09e07,4,4,1,4,4,5,2,4,4,4
s09e08,3,3,3,3,3,3,3,3,3,3
s09e09,3,3,3,3,1,2,1,3,4,3
s09e10,3,3,3,3,3,4,3,3,3,3
s09e11,4,4,4,4,4,4,3,3,4,4
s09e12,4,4,4,4,3,4,2,3,7,4
s09e13,3,3,3,3,1,3,1,3,2,3
s09e14,3,3,3,3,3,4,2,3,3,3
s09e15,4,3,1,4,2,3,2,3,4,3
s09e16,5,5,5,5,4,6,4,5,5,5
s09e17,2,2,2,2,3,2,2,2,3,2
s09e18,4,4,4,4,3,4,3,3,4,4
s09e19,4,4,6,4,4,4,3,4,4,4
s09e20,4,3,4,4,3,4,3,4,3,4
s09e21,3,3,3,3,1,3,1,3,6,3
s09e22,4,4,4,4,2,4,2,4,2,4
s09e24,6,6,1,6,4,5,3,5,18,6
