speaker1,speaker2,line_count,scene_count,word_count
chandler,janice,10,1,80
chandler,joey,520,66,6077
chandler,mona,31,4,211
chandler,monica,921,103,9925
chandler,parker,15,2,257
chandler,phoebe,383,50,3825
chandler,rachel,360,46,3984
chandler,ross,381,45,3704
chandler,the interviewer,27,2,302
chandler,will,53,4,503
dina,joey,48,4,646
dina,rachel,49,8,616
dr. long,joey,15,2,155
dr. long,rachel,93,9,953
dr. long,ross,73,7,765
eric,phoebe,124,9,1467
eric,rachel,9,1,87
eric,ross,9,1,90
janice,monica,6,1,48
janice,rachel,31,3,390
janice,ross,31,4,240
joey,mona,36,6,463
joey,monica,445,63,5072
joey,mr. greene,4,2,118
joey,parker,16,2,261
joey,phoebe,452,64,4840
joey,rachel,865,81,10699
joey,ross,669,65,7834
joey,the interviewer,52,11,801
joey,will,36,3,310
mona,monica,7,2,60
mona,mr. greene,15,3,138
mona,phoebe,13,2,112
mona,rachel,34,6,425
mona,ross,241,29,2382
monica,mrs. greene,52,5,626
monica,parker,19,2,290
monica,phoebe,782,85,8178
monica,rachel,587,62,7033
monica,ross,346,39,4281
monica,the interviewer,8,1,79
monica,will,86,5,821
mr. greene,phoebe,26,2,329
mr. greene,rachel,38,2,489
mr. greene,ross,21,3,259
mrs. greene,phoebe,42,4,502
mrs. greene,rachel,67,4,940
mrs. greene,ross,24,2,323
parker,phoebe,70,6,865
parker,rachel,9,1,140
parker,ross,18,2,297
phoebe,rachel,642,66,7214
phoebe,ross,415,50,4899
phoebe,the interviewer,9,1,125
phoebe,will,58,4,568
rachel,ross,1098,101,11865
rachel,the interviewer,14,3,202
rachel,will,71,3,738
ross,the interviewer,19,3,189
ross,will,75,4,694
