speaker1,speaker2,line_count,scene_count,word_count
1st customer,2nd customer,2,1,11
1st customer,3rd customer,3,1,21
1st customer,monica,5,1,17
2nd customer,3rd customer,3,1,26
2nd customer,monica,5,1,22
3rd customer,monica,6,1,32
a casino boss,joey,2,1,30
a crew member,alex,3,1,9
a crew member,chandler,7,2,68
a crew member,director,12,2,102
a crew member,joey,11,2,102
a disembodied voice,phoebe,8,1,109
a disembodied voice,the fireman,6,1,63
a drunken gambler,chandler,12,1,121
a drunken gambler,drunken gambler,2,1,15
a drunken gambler,monica,14,1,105
a drunken gambler,the croupier,3,1,13
a female student,phoebe,3,1,35
a male customer,joey,5,1,53
a male customer,woman s06e13,3,1,25
a student,ross,3,1,161
a tourist,joey,2,1,22
a waiter,joey,3,1,23
a waiter,monica,5,1,140
a waiter,the waiter s04e10,6,1,62
a waiter in drag,announcer,2,1,15
a waiter in drag,chandler,6,1,125
a waiter in drag,helena,2,1,8
a waiter in drag,monica,5,1,46
a waiter in drag,waiter in drag,3,1,13
a woman,monica,6,1,75
a woman,phoebe,5,1,21
a woman,rachel,7,1,30
actor,casting director no. 1,2,1,20
actor,casting director no. 2,3,1,17
actor,chandler,8,1,74
actor,joey,4,1,31
actor,monica,4,1,30
actor,phoebe,3,1,24
actor,rachel,6,1,54
actor,ross,4,1,39
adoption agency guy,agency guy,5,1,43
adoption agency guy,chandler,5,1,48
adoption agency guy,erica,9,1,64
adoption agency guy,monica,7,1,73
adrienne,chandler,10,1,71
adrienne,present chandler's voice,2,1,18
adrienne,ross,13,2,79
agency guy,chandler,21,3,199
agency guy,erica,26,3,263
agency guy,monica,24,4,240
air stewardess,passenger #1,12,1,92
air stewardess,passenger #2,6,1,35
air stewardess,passenger #3,5,1,27
air stewardess,phoebe,12,1,118
air stewardess,rachel,27,2,422
air stewardess,ross,20,2,166
airline employee,chandler,10,2,79
airline employee,monica,8,2,85
alan,joey,2,1,7
alan,monica,10,3,69
alan,phoebe,2,1,58
alan,rachel,2,1,7
alan,ross,2,1,5
alex,chandler,4,1,26
alex,director,6,1,77
alex,joey,6,1,61
alexandra steele,rachel,2,1,18
alice,chandler,23,4,239
alice,dr. zane,7,1,81
alice,frank jr.,72,8,922
alice,joey,6,1,50
alice,monica,20,3,207
alice,phoebe,83,9,1260
alice,rachel,16,2,146
alice,ross,12,2,119
alison,chandler,2,1,21
allesandro,monica,23,3,351
allesandro,phoebe,7,1,43
amanda,chandler,6,2,67
amanda,monica,22,3,295
amanda,phoebe,20,3,254
amanda,ross,13,1,112
amber,chandler,10,2,73
amber,dr. horton,5,1,23
amber,dr. remore,15,3,117
amber,joey,3,1,48
amber,monica,10,2,35
amber,phoebe,4,1,15
amber,rachel,9,2,44
amber,ross,9,2,28
amy,chandler,68,5,1077
amy,charlie,12,1,87
amy,joey,93,7,1171
amy,monica,75,6,991
amy,phoebe,53,4,704
amy,rachel,236,16,2753
amy,ross,140,10,1536
anchorwoman,chandler,2,1,58
anchorwoman,joey,3,1,89
andrea,chandler,5,1,25
andrea,monica,3,1,16
andrea,phoebe,4,1,24
andrea,ross,6,1,61
angela,bob s01e05,2,1,3
angela,joey,20,3,189
angela,monica,16,4,112
angela,phoebe,4,1,21
annabelle,customer,3,1,16
annabelle,guy s02e02,3,1,11
annabelle,hombre man,10,3,43
annabelle,joey,16,5,201
annabelle,store guy,3,1,15
announcer,chandler,6,1,128
announcer,helena,2,1,11
announcer,joey,2,1,141
announcer,mike,11,2,113
announcer,monica,10,3,108
announcer,pete,3,1,34
announcer,phoebe,15,2,232
announcer,referee,2,1,38
announcer,ross,6,2,82
announcer,waiter in drag,3,1,16
another extra,director,3,1,14
another extra,extra,2,1,4
another extra,joey,7,1,61
another extra,man s09e11,2,1,13
another extra,phoebe,8,1,122
another man's voice,phoebe,8,1,68
another man's voice,ursula,7,1,40
another scientist,another tour guide,3,1,43
another scientist,joey,5,1,53
another scientist,older scientist,4,1,45
another scientist,ross,8,1,160
another scientist,tour guide,3,1,35
another tour guide,joey,4,1,44
another tour guide,older scientist,3,1,36
another tour guide,ross,7,1,151
another tour guide,tour guide,2,1,26
answering machine,emily,2,1,24
answering machine,monica,7,1,196
answering machine,rachel,8,1,78
anxious wedding guest,chandler,7,1,42
anxious wedding guest,ross,11,1,51
arthur,jack,7,1,37
arthur,phoebe,10,1,82
ashley,bandleader,2,1,7
ashley,fat girl,3,1,9
ashley,gert,4,1,29
ashley,mona,3,1,21
ashley,ross,9,1,57
assistant,ross,23,3,253
attendant,chandler,6,1,21
attendant,joey,5,1,40
attendant,monica,6,1,36
attendant,phoebe,8,1,67
aunt iris,monica,17,2,151
aunt iris,phoebe,9,2,88
aunt iris,rachel,10,1,67
aunt lillian,monica,6,1,23
aunt lillian,mr. geller,4,1,17
aunt lillian,mrs. geller,13,2,95
aunt lillian,nurse,3,1,12
aunt lillian,ross,21,3,182
aunt lisa,man s08e18,4,1,17
aunt lisa,mr.,4,1,17
aunt lisa,mr. geller,5,1,39
aunt lisa,mrs. geller,7,1,76
aunt lisa,rachel,20,2,203
aunt lisa,ross,17,2,155
aunt lisa,uncle dan,4,1,25
aunt lisa,woman s08e18,10,2,44
aunt millie,monica,3,1,19
aunt millie,ross,8,2,53
aunt millie,the woman s07e11,2,1,8
aurora,chandler,73,3,833
aurora,joey,12,1,124
aurora,monica,21,2,206
aurora,phoebe,15,2,149
aurora,rachel,5,1,21
aurora,ross,21,2,166
ballerina,chandler,5,1,17
ballerina,girl s08e06,4,1,10
ballerina,joey,7,1,28
ballerina,monica,5,1,21
ballerina,phoebe,5,1,15
ballerina,rachel,8,1,72
bandleader,fat girl,3,1,6
bandleader,gert,4,1,26
bandleader,mona,5,2,37
bandleader,ross,12,2,110
bank officer,chandler,5,1,37
bank officer,ms. lambert,3,1,27
bank officer,ross,5,1,32
barry,bernice,22,3,257
barry,best man,4,1,108
barry,bobby,3,1,29
barry,mindy,16,2,199
barry,monica,3,1,79
barry,rachel,79,10,846
barry,richard,2,1,21
barry,robbie,20,2,157
barry,ross,9,2,145
bass singer,man s03e12,2,1,27
bass singer,quartet,3,1,29
ben,carol,41,5,145
ben,chandler,59,7,464
ben,joey,15,3,57
ben,monica,50,9,392
ben,phoebe,45,6,484
ben,rachel,125,13,1193
ben,ross,144,17,1264
ben,susan,9,1,27
ben,the teacher s08e10,10,1,111
benjamin,charlie,33,2,413
benjamin,dr. biely,14,1,217
benjamin,dr. li,14,1,223
benjamin,ross,73,4,934
bernice,mindy,5,1,40
bernice,rachel,17,3,156
bernice,robbie,2,1,7
best man,monica,5,1,161
best man,rachel,8,1,225
best man,richard,4,1,103
best man,ross,7,1,195
big bully,chandler,49,4,389
big bully,gunther,10,1,75
big bully,little bully,42,4,343
big bully,ross,49,4,420
big nosed rachel,chandler,10,2,157
big nosed rachel,fat monica,22,3,272
big nosed rachel,monica,3,1,33
big nosed rachel,mr. geller,7,2,106
big nosed rachel,mrs. geller,11,3,168
big nosed rachel,ross,11,1,137
bill,chandler,13,2,185
bill,colleen,12,2,150
bill,kevin,3,1,181
bill,monica,7,1,85
bill,owen,5,1,45
bill,phoebe,2,1,30
bill,rachel,3,1,48
billy,joey,8,2,78
billy,monica,14,3,118
billy,rachel,3,1,31
billy,robin,19,3,215
billy,robin williams,3,1,29
bitsy,mike,37,7,465
bitsy,phoebe,35,5,600
bitsy,theodore,10,2,158
bitter lady,chandler,6,2,76
bitter woman,chandler,3,1,41
bitter woman,monica,2,1,16
bitter woman,phoebe,2,1,20
blackjack dealer,joey,5,1,23
