originalTitle,seasonNumber,weighted_rating
Friends,1,8.215765608650157
Friends,2,8.379009933912466
Friends,3,8.327895314348416
Friends,4,8.4395645666077
Friends,5,8.631146252823887
Friends,6,8.42770688992434
Friends,7,8.351606338130543
Friends,8,8.410860240251866
Friends,9,8.198570250206213
Friends,10,8.706273958757041
Seinfeld,1,7.4592410671289615
Seinfeld,2,8.025206671152551
Seinfeld,3,8.27015732205974
Seinfeld,4,8.560431249054579
Seinfeld,5,8.55672953787292
Seinfeld,6,8.317193982527742
Seinfeld,7,8.563582945923992
Seinfeld,8,8.56545263120327
Seinfeld,9,8.382051373085048
The Big Bang Theory,1,8.104286112993899
The Big Bang Theory,2,8.274429270513258
The Big Bang Theory,3,8.282529549102586
The Big Bang Theory,4,8.122574039854166
The Big Bang Theory,5,8.010999340369393
The Big Bang Theory,6,8.007747242813233
The Big Bang Theory,7,7.942299814159172
The Big Bang Theory,8,7.496338829557471
The Big Bang Theory,9,7.633676092544987
The Big Bang Theory,10,7.448472127130554
The Big Bang Theory,11,7.395184684949205
The Big Bang Theory,12,7.774765827011661
The Office,1,7.852108830027555
The Office,2,8.35654195465625
The Office,3,8.521620261074851
The Office,4,8.563326670597203
The Office,5,8.515235832183556
The Office,6,8.162466139132967
The Office,7,8.460632000988097
The Office,8,7.484404372701268
The Office,9,8.162110021786491
