speaker1,speaker2,line_count,scene_count,word_count
CUTLER,EMIL,48,9,500
DAPHNE,EDDIE,13,4,168
DAPHNE,JORDY,52,15,505
DUFFY,EDDIE,7,1,74
DUFFY,JORDY,23,5,367
DUFFY,KORFIN,9,2,106
EDDIE,EMIL,11,3,156
EDDIE,HAWKINS,21,8,385
EDDIE,JORDY,88,21,1299
EDDIE,LEON,26,10,269
EDDIE,NICOLETTE,72,10,736
EDDIE,ROSE,19,5,212
EMIL,HAWKINS,9,1,126
EMIL,HONEY,14,5,233
EMIL,IMMIGRATION OFFICER,17,4,128
EMIL,JORDY,12,5,139
EMIL,MILOS,18,5,176
EMIL,OLEG,70,27,808
EMIL,SECONDARY OFFICER,8,2,59
EMIL,VENDOR,8,2,101
HAWKINS,LEON,10,4,91
HAWKINS,MAGGIE,7,2,64
HAWKINS,NICOLETTE,8,1,103
IMMIGRATION OFFICER,OLEG,12,2,149
JORDY,KORFIN,37,12,353
JORDY,LEON,14,4,122
JORDY,MAX,6,1,65
JORDY,MUGGER,11,4,134
JORDY,TOMMY,9,3,103
ROBERT HAWKINS,STEPHEN GELLER,13,1,247
