speaker1,speaker2,line_count,scene_count,word_count
ALEX,CATLADY,13,2,306
ALEX,CHIEF GUARD,45,9,389
ALEX,DELTOID,22,2,684
ALEX,DIM,26,6,665
ALEX,DOLIN,17,2,134
ALEX,DR. BRANOM,29,3,427
ALEX,DR. BRODSKY,11,4,266
ALEX,DR. TAYLOR,38,1,461
ALEX,EM,11,3,150
ALEX,GEORGIE,13,4,315
ALEX,LARDFACE,20,1,297
ALEX,MINISTER,36,5,834
ALEX,MR. ALEXANDER,33,3,532
ALEX,PEE,22,4,389
ALEX,PRIEST,24,1,419
ALEX,RUBINSTEIN,17,1,303
ALEX,TRAMP,14,2,469
CHECK-IN,CHIEF GUARD,10,5,80
CHIEF GUARD,GOVERNOR,12,4,151
DIM,GEORGIE,9,3,126
EM,PEE,13,5,147
GOVERNOR,MINISTER,9,3,161
