speaker1,speaker2,line_count,scene_count,word_count
AUDREY,GRANDFATHER,6,1,155
BLONDE,GRANDFATHER,8,2,29
BOY,RINGO,38,4,275
BOYS,GRANDFATHER,10,4,47
DIRECTOR,NORM,12,5,160
FLOOR MANAGER,RINGO,7,1,58
FRANK,JOHN,12,4,133
GEORGE,JOHN,16,8,139
GEORGE,PAUL,31,11,214
GEORGE,RINGO,14,5,110
GEORGE,SECRETARY,7,2,80
GEORGE,SHAKE,10,4,90
GEORGE,SIMON,32,3,428
GIRL,PAUL,64,7,882
GRANDFATHER,JOHN,15,7,178
GRANDFATHER,PAUL,21,6,278
GRANDFATHER,RINGO,49,6,599
GRANDFATHER,SERGEANT,10,3,143
JOHN,MILLIE,26,2,137
JOHN,NORM,48,18,417
JOHN,PAUL,49,18,513
JOHN,RINGO,12,5,66
JOHN,SHAKE,13,5,75
NORM,PAUL,18,6,168
NORM,RINGO,18,8,111
NORM,SHAKE,27,7,210
PAUL,RINGO,12,6,131
PAUL,SHAKE,9,3,80
POLICEMAN,SERGEANT,7,2,76
