speaker1,speaker2,line_count,scene_count,word_count
ALICE,KORSHUNOV,14,5,162
ALICE,MARSHALL,15,7,73
ALICE,ROSE,28,9,275
CERALLOS,IRAQI SOLDIER,8,3,107
CHIEF MECHANIC,MARSHALL,7,2,89
COL. CARLTON,MARSHALL,21,7,168
DEAN,GENERAL NORTHWOOD,10,4,96
DOHERTY,MARSHALL,8,3,104
GENERAL NORTHWOOD,V.P. CHANDLER,14,6,189
GIBBS,KC-135 PILOT,8,3,57
GIBBS,KORSHUNOV,23,6,188
GIBBS,MARSHALL,6,1,36
KC-LO PILOT,TOWER,9,3,84
KORSHUNOV,MARSHALL,20,8,216
KORSHUNOV,MITCHELL,19,7,267
KORSHUNOV,ROSE,31,10,336
LEE,V.P. CHANDLER,8,3,120
MAJOR CALDWELL,MARSHALL,16,7,183
MARSHALL,ROSE,28,10,310
MARSHALL,SECRET SERVICE AGENT,7,2,22
MARSHALL,SECRETARY,9,3,45
MARSHALL,SHEPHERD,39,16,410
MARSHALL,SWITCHBOARD,12,2,122
MARSHALL,V.P. CHANDLER,8,3,139
