speaker1,speaker2,line_count,scene_count,word_count
ADDISON,EVE,161,29,2109
ADDISON,GIRL,10,2,84
ADDISON,KAREN,12,3,82
ADDISON,MARGO,42,8,579
ADDISON,MAX,10,4,161
ADDISON,MISS CASWELL,20,8,258
BILL,EVE,60,10,719
BILL,KAREN,20,8,132
BILL,MARGO,213,37,2852
BIRDIE,KAREN,11,4,107
BIRDIE,MARGO,62,14,625
EVE,GIRL,33,7,336
EVE,KAREN,129,29,1922
EVE,LLOYD,17,7,519
EVE,MARGO,65,17,900
KAREN,LLOYD,99,27,1342
KAREN,MARGO,83,22,1435
LLOYD,MARGO,81,21,1108
MARGO,MAX,42,8,469
MARGO,OPERATOR'S VOICE,8,1,53
MARGO,PIANIST,9,1,102
