speaker1,speaker2,line_count,scene_count,word_count
BERNSTEIN,BOOKKEEPER,28,7,509
BERNSTEIN,BRADLEE,16,7,233
BERNSTEIN,DARDIS,11,4,121
BERNSTEIN,HANNAH,15,3,214
BERNSTEIN,IRWIN,13,1,140
BERNSTEIN,JANE,10,1,176
BERNSTEIN,MITCHELL,17,1,141
BERNSTEIN,ROSENFELD,14,6,128
BERNSTEIN,SECRETARY,18,4,177
BERNSTEIN,SEGRETTI,31,6,396
BERNSTEIN,SLOAN,27,10,371
BERNSTEIN,WOODWARD,176,43,2089
BRADLEE,FOREIGN EDITOR,8,3,211
BRADLEE,SIMONS,10,5,121
BRADLEE,WOODWARD,20,8,207
CADDY,WOODWARD,25,6,380
CLAWSEN,WOODWARD,8,1,90
DAHLBERG,WOODWARD,10,2,176
DEEP THROAT,WOODWARD,56,6,894
HUNT,WOODWARD,6,1,72
JUDGE,MCCORD,11,2,32
MRS. GRAHAM,WOODWARD,19,3,279
NATIONAL EDITOR,ROSENFELD,9,2,163
ROSENFELD,SIMONS,21,6,200
ROSENFELD,WOODWARD,32,9,617
SIMONS,WOODWARD,15,6,215
SLOAN,WOODWARD,25,9,345
SWEET OLD LADY,WOODWARD,6,1,59
