speaker1,speaker2,line_count,scene_count,word_count
ALLEGRO,ANDANTE,6,1,271
ARCO,MOZART,7,2,43
CAVALIERI,MOZART,14,4,128
CAVALIERI,SALIERI,39,5,244
COLLOREDO,LEOPOLD,12,1,206
COLLOREDO,MOZART,8,2,123
COMMENDATORE,SCHIKANEDER,7,2,92
CONSTANZE,LEOPOLD,12,3,118
CONSTANZE,MOZART,113,21,1025
CONSTANZE,OFFICER,9,1,31
CONSTANZE,SALIERI,56,14,605
CONSTANZE,SCHIKANEDER,17,3,172
FIRST LADY,SECOND LADY,10,5,14
FLUNKY,MADAME WEBER,7,2,86
FRAU SCHLUMBERG,MOZART,9,3,62
FRAU SCHLUMBERG,SCHLUMBERG,12,4,100
JOSEPH,MOZART,65,20,900
JOSEPH,SALIERI,47,13,465
JOSEPH,VON STRACK,12,4,126
LEOPOLD,MOZART,55,15,605
LORL,MOZART,8,2,81
LORL,SALIERI,37,8,327
MOZART,ORSINI-ROSENBERG,22,8,214
MOZART,SALIERI,193,32,2046
MOZART,SCHIKANEDER,37,8,431
MOZART,SCHLUMBERG,27,8,338
MOZART,VON STRACK,21,2,211
MOZART,VON SWIETEN,11,4,279
OLD SALIERI,VOGLER,63,9,1017
ORSINI-ROSENBERG,SALIERI,22,5,100
ORSINI-ROSENBERG,VON STRACK,9,3,101
PAPAGENO,UGLY OLD WOMAN,11,3,127
SALIERI,SCHIKANEDER,14,2,117
SALIERI,SERVANT,9,3,76
SALIERI,VON SWIETEN,6,1,164
