speaker1,speaker2,line_count,scene_count,word_count
BILL,DICKSON,14,5,159
CHARLIE,MATT,26,7,224
CHARLIE,OSCAR,10,1,80
CLARK,DICKSON,31,11,745
CLARK,HELEN,6,1,33
CLARK,O'BRIEN,10,4,168
CLUETT,DICKSON,12,3,165
CLUETT,DUDE,21,5,236
CLUETT,INSPECTOR,25,7,370
CLUETT,MATT,20,6,267
CLUETT,MRS. DICKSON,60,12,705
DICKSON,GARDINER,13,4,86
DICKSON,HELEN,25,8,223
DICKSON,HELEN'S VOICE,9,3,41
DICKSON,INSPECTOR,26,8,415
DICKSON,JANITOR,13,3,86
DICKSON,MATT,34,9,597
DICKSON,MRS. DICKSON,32,7,441
DICKSON,MRS. PEMBROKE,9,3,86
DICKSON,SAMPSON,29,9,463
GUARD,LADY,7,2,83
HELEN,INSPECTOR,7,1,27
HELEN,MATT,52,15,441
HELEN,MRS. DICKSON,11,2,123
INSPECTOR,MATT,15,4,124
INSPECTOR,MIKE,6,1,56
INSPECTOR,MRS. HALLIGAN,20,5,203
MATT,TELLER,14,5,121
