speaker1,speaker2,line_count,scene_count,word_count
BOB,COLE,43,16,390
BOB,COMANCHE TOM,9,4,54
BOB,FRANK,18,7,162
BOB,JESSE,28,10,286
BURLY DETECTIVE,JESSE,8,3,67
COLE,COMANCHE TOM,8,3,96
COLE,FRANK,24,9,199
COLE,JESSE,86,32,750
COLE,TELLER,7,2,34
COMANCHE TOM,MARSHALL,10,3,73
COMANCHE TOM,OLD MAN,8,1,50
DEPUTY,SHERRIFF,8,2,45
DOC MIMMS,JESSE,12,5,106
DOC MIMMS,ZEE,10,4,125
FRANK,JESSE,98,30,1034
FRANK,JIMMY,17,3,157
JESSE,JIM,26,7,280
JESSE,MA,16,7,109
JESSE,PASTOR,10,3,102
JESSE,PINKERTON,34,8,316
JESSE,ZEE,84,17,822
JIM,LYLA,17,3,116
PARKER,PINKERTON,11,5,152
PARKER,RAINS,39,10,420
PINKERTON,RAINS,38,10,610
