speaker1,speaker2,line_count,scene_count,word_count
CHOIR TEACHER,OZ,7,2,55
COACH MARSHALL,OZ,7,2,41
COLLEGE CHICK,OZ,13,5,113
FINCH,JIM,10,4,148
FINCH,KEVIN,24,8,227
FINCH,STIFLER'S MOM,17,5,154
HEATHER,OZ,90,20,1069
JESSICA,KEVIN,26,3,318
JESSICA,VICKY,17,3,214
JIM,JIM'S DAD,28,9,257
JIM,KEVIN,67,27,592
JIM,MICHELLE,38,9,488
JIM,NADIA,38,14,267
JIM,OZ,38,15,361
JIM,PORNO-CHANNEL CHICK,10,5,55
JIM,SHERMAN,7,2,66
KEVIN,KEVIN'S BROTHER,22,4,236
KEVIN,OZ,43,20,435
KEVIN,STIFLER,10,4,114
KEVIN,VICKY,83,28,738
OZ,STIFLER,30,9,282
SOPHOMORE CHICK,STIFLER,10,5,57
