speaker1,speaker2,line_count,scene_count,word_count
1ST MAN,2ND MAN,12,5,83
1ST MAN,ALVY,20,4,160
ACTOR,ACTRESS,8,3,132
ALLISON,ALVY,39,7,453
ALVY,ANNIE,671,105,7947
ALVY,DUANE,7,2,106
ALVY,GIRL DATE,7,2,70
ALVY,MAN IN LINE,23,6,362
ALVY,OFFICER,7,2,142
ALVY,REPORTER,23,2,314
ALVY,ROB,94,21,1101
ALVY,ROBIN,33,8,430
ALVY,TEACHER,9,3,61
ALVY,TONY,9,4,71
ALVY'S FATHER,ALVY'S MOTHER,14,3,79
ALVY'S VOICE,ANNIE'S VOICE,9,3,102
ALVY'S VOICE-OVER,ANNIE'S VOICE-OVER,6,1,95
ANNIE,MOM HALL,14,6,100
ANNIE,TONY,40,8,393
ROB,TESSIE,6,1,39
