speaker1,speaker2,line_count,scene_count,word_count
AGENT,WILLARD,44,8,487
AUSTRALIAN,WILLARD,7,2,52
CAPTAIN,WILLARD,36,6,300
CHEF,CHIEF,10,5,111
CHEF,CLEAN,8,3,196
CHEF,WILLARD,48,13,528
CHIEF,CLEAN,13,5,121
CHIEF,WILLARD,56,21,656
CIVILIAN,WILLARD,18,5,149
CLEAN,SOLDIER,12,4,130
COLBY,WILLARD,10,4,48
COLONEL,WILLARD,20,5,146
GASTON,WILLARD,28,9,456
KILGORE,LANCE,24,9,216
KILGORE,MIKE,13,3,132
KILGORE,RADIO,8,3,125
KILGORE,WILLARD,46,9,535
KURTZ,WILLARD,55,13,634
KURTZ'S WIFE,WILLARD,14,1,147
LANCE,WILLARD,39,13,331
LIEUTENANT,WILLARD,10,2,133
MOONBY,WILLARD,22,5,355
ROXANNE,WILLARD,30,8,265
SERGEANT,WILLARD,10,2,105
SOLDIER,WILLARD,13,4,100
