speaker1,speaker2,line_count,scene_count,word_count
ALOTTA,AUSTIN,35,7,340
ANDY WARHOL,AUSTIN,8,2,76
AUSTIN,BASIL EXPOSITION,87,17,959
AUSTIN,CLERK,11,1,140
AUSTIN,DESTRUCTACON,7,1,83
AUSTIN,DR. EVIL,15,5,356
AUSTIN,GUARD,13,6,104
AUSTIN,MICK JAGGER,7,1,59
AUSTIN,VANESSA,155,37,2054
COMMANDER GILMOUR,RADAR OPERATOR,12,3,130
DR. EVIL,FRAU FARBISSINA,25,6,342
DR. EVIL,MUSTAFA,16,6,212
DR. EVIL,NUMBER TWO,10,5,349
DR. EVIL,SCOTT EVIL,37,8,487
DR. EVIL,THERAPIST,8,3,117
MRS. KENSINGTON,VANESSA,24,5,259
SCOTT EVIL,THERAPIST,13,4,157
