speaker1,speaker2,line_count,scene_count,word_count
BOBBIE,DEBBIE,16,5,189
BOBBIE,PHOEBE,9,4,66
CHULO,O'NEILL,12,5,97
CHULO,RICK,9,4,81
CHULO,RYKO,8,3,71
COLE,DEBBIE,16,3,232
COLE,MR. T,6,1,43
COLE,MR. THOMERSON,27,7,283
COLE,RICK,45,13,337
DEBBIE,ILENE,13,3,150
DEBBIE,MRS. THOMERSON,10,5,67
DEBBIE,RICK,71,16,637
EXECUTIVE,MR. THOMERSON,9,4,85
GARY,JUMBO,19,6,140
GARY,RAJAH,12,1,95
GARY,RICK,25,9,286
LARRY,O'NEILL,8,3,72
LARRY,RICK,28,8,279
MANAGER,RICK,9,4,128
MR. THOMERSON,MRS. THOMERSON,11,4,104
MR. THOMERSON,RICK,19,6,199
O'NEILL,RICK,62,21,480
O'NEILL,WOMAN,7,2,53
RICK,SISTER MARY FRANCIS,7,2,83
RICK,STAN,15,5,268
RYKO,STAN,7,2,66
