speaker1,speaker2,line_count,scene_count,word_count
1/16TH BLACK,BIG BLACK,15,7,138
AUDIENCE,HONEYCUTT,12,4,147
BIG BLACK,DELACROIX,7,2,90
BIG BLACK,SLOAN,28,4,488
BIG BLACK,TAVIS SMILEY,8,3,95
CHEEBA,DELACROIX,20,7,170
CHEEBA,MANRAY,18,5,211
CHEEBA,MANTAN,37,8,325
DELACROIX,DOT,12,4,140
DELACROIX,DUNWITTY,103,27,2192
DELACROIX,GARY BYRD,8,1,239
DELACROIX,JUKKA,20,5,227
DELACROIX,JUNEBUG,35,11,398
DELACROIX,MANRAY,26,8,246
DELACROIX,MANTAN,37,9,539
DELACROIX,MONA,8,2,141
DELACROIX,ORCHID,43,7,542
DELACROIX,SLOAN,103,29,1156
DUNWITTY,MYRNA,10,5,196
MANRAY,SLOAN,16,2,214
MANTAN,SLEEP 'N EAT,66,11,843
MANTAN,SLOAN,55,10,520
MANTAN,TAVIS SMILEY,13,2,387
