speaker1,speaker2,line_count,scene_count,word_count
ARMED GENTLEMAN,RODERICK,6,1,61
CAPTAIN BEST,HARRY,8,3,160
CAPTAIN BEST,MICHAEL,6,1,123
CAPTAIN GALGENSTEIN,RODERICK,33,11,823
CAPTAIN GROGAN,RODERICK,40,9,1157
CAPTAIN O'REILLY,RODERICK,12,2,283
CHEVALIER,PRINCE,7,1,113
CHEVALIER,PRUSSIAN OFFICER,12,3,105
CHEVALIER,RODERICK,31,8,527
COUNT,RODERICK,9,1,110
COUNTESS,RODERICK,54,9,1238
DOROTHY,RODERICK,22,6,450
HENRI,RODERICK,8,2,62
LORD WEST,RODERICK,7,2,234
MINISTER GALGENSTEIN,RODERICK,11,5,91
MRS. O'REILLY,RODERICK,12,5,360
NEWCOMBE,RODERICK,11,1,436
PATRICK,RODERICK,16,4,175
RODERICK,SIR WILLIAM,21,5,915
RODERICK,VALDEZ,12,1,110
