speaker1,speaker2,line_count,scene_count,word_count
BARTENDER,HARDY,12,4,118
CHILDS,DUNBAR,10,5,90
CHILDS,KENDALL,18,8,179
CHILDS,MUELLER,13,6,103
DUNBAR,HARDY,63,21,658
DUNBAR,MUELLER,12,5,93
DUNBAR,OSBORNE,31,12,402
DUNBAR,PIKE,53,16,542
DUNBAR,WEST,9,3,81
HARDY,KENDALL,62,22,895
HARDY,OSBORNE,185,54,2180
HARDY,STYLES,81,23,1252
KENDALL,MUELLER,17,5,200
KENDALL,OSBORNE,40,16,556
KENDALL,PIKE,9,3,203
MUELLER,PIKE,24,9,272
OSBORNE,SERGEANT,8,3,76
OSBORNE,STYLES,21,8,261
THE CADETS,WEST,10,2,336
