speaker1,speaker2,line_count,scene_count,word_count
ALBERT MILO,BASQUIAT,29,6,475
ANDY WARHOL,BASQUIAT,43,13,626
ANDY WARHOL,JACK MILO,8,1,42
ANNINA NOSEI,BASQUIAT,14,6,111
ANNINA NOSEI,GINA,11,4,47
ARTIST #2,RENE,11,4,99
BASQUIAT,BENNY,56,19,639
BASQUIAT,BIG PINK,10,2,82
BASQUIAT,BRUNO,10,4,116
BASQUIAT,CHRIS,12,4,170
BASQUIAT,COUNTERMAN,9,3,104
BASQUIAT,DRIVER,9,2,55
BASQUIAT,GEORGE,8,3,42
BASQUIAT,GINA,66,21,636
BASQUIAT,GREG,11,4,123
BASQUIAT,INTERVIEWER,37,5,335
BASQUIAT,MARY BOONE,8,3,84
BASQUIAT,RENE,26,7,338
BASQUIAT,SHENGE,15,5,100
BASQUIAT,STELLA,8,2,32
GINA,LESHKO,6,1,43
RAMMELLZEE,TOXIC,7,2,78
