speaker1,speaker2,line_count,scene_count,word_count
AGENT,MALKOVICH,7,2,63
CABBIE,MALKOVICH,12,3,70
CRAIG,ERROLL,8,3,119
CRAIG,FLORIS,20,4,177
CRAIG,LESTER,52,8,955
CRAIG,LOTTE,159,27,1808
CRAIG,MALKOVICH,20,4,168
CRAIG,MAXINE,101,25,1240
DON,WENDY,9,3,204
ELIJAH,LOTTE,9,3,158
ERROLL,MAXINE,8,1,110
FLEMMER,LESTER,34,4,436
FLORIS,LESTER,10,2,53
HARRY S. TRUMAN PUPPET,MALKOVICH,6,1,28
KEVIN BACON,MALKOVICH,14,1,189
LESTER,LOTTE,32,7,364
LESTER,WOMAN #1,7,2,62
LOTTE,MAXINE,26,10,310
MALKOVICH,MANTINI,19,3,189
MALKOVICH,MAXINE,73,23,708
MERTIN,TINY WOMAN,7,1,157
