speaker1,speaker2,line_count,scene_count,word_count
ALLENBY,CHANCE,63,14,683
ALLENBY,EVE,23,5,285
ALLENBY,FRANKLIN,9,1,159
ALLENBY,RAND,12,5,243
BALDWIN,PRESIDENT,7,2,135
BILLINGS,CHANCE,8,2,59
CHANCE,COURTNEY,12,2,195
CHANCE,DENNIS,9,1,83
CHANCE,DENNIS' VOICE,11,2,60
CHANCE,DUPONT,24,5,400
CHANCE,EVE,139,35,1560
CHANCE,FRANKLIN,61,13,723
CHANCE,HAYES,20,8,134
CHANCE,HULL,7,2,94
CHANCE,JEFFREY,17,6,128
CHANCE,LOUISE,25,7,441
CHANCE,MRS. AUBREY,12,2,134
CHANCE,PRESIDENT,16,5,191
CHANCE,RAND,69,18,1265
CHANCE,SKRAPINOV,29,6,499
CHANCE,SMYTHE,7,2,43
CHANCE,STIEGLER,10,1,126
CHANCE,WILSON,10,4,78
COURTNEY,KINNEY,10,2,137
EVE,RAND,17,4,223
EVE,SOPHIE,8,3,66
EVE,WILSON,7,2,64
FIRST LADY,PRESIDENT,13,3,160
FRANKLIN,HAYES,9,2,125
FRANKLIN,JOHANNA,9,2,73
KARPATOV,SKRAPINOV,12,2,195
KAUFMAN,PRESIDENT,28,5,439
NOVOGROD,SKRAPINOV,9,1,136
PRESIDENT,RAND,25,6,345
