speaker1,speaker2,line_count,scene_count,word_count
ADAM,ARON,15,4,139
ADAM,BELLBOY,17,2,124
ADAM,BUTCHER,9,3,116
ADAM,BYSTANDER #1,6,1,20
ADAM,CALVIN,67,14,625
ADAM,CLERK,11,3,42
ADAM,CLIFF,16,6,141
ADAM,EVE,330,77,2913
ADAM,HELEN,40,14,416
ADAM,JERRY,13,5,127
ADAM,MISS SWEET,17,5,95
ADAM,POSTAL WORKER,6,1,21
ADAM,SODA JERK,15,2,172
ADAM,TROY,84,18,575
ARON,EVE,10,1,165
ATKINSON,LEVY,10,1,76
CALVIN,HELEN,146,40,1298
CALVIN,STREET WALKER,12,2,173
CLIFF,EVE,15,6,135
EVE,TROY,120,31,1203
MOM,SODA JERK,11,4,87
PILOT,TOWER,10,3,81
