speaker1,speaker2,line_count,scene_count,word_count
ALESSANDRO,GEORGE,9,3,110
AUGUSTO,GEORGE,18,5,285
AUGUSTO,MIRTHA,8,3,150
BARBARA,GEORGE,46,12,413
BARBARA,TUNA,12,4,114
CALIBANOS,GEORGE,11,1,165
CESAR,GEORGE,20,4,238
DEREK,GEORGE,52,14,591
DETECTIVE #1,GEORGE,7,2,80
DIEGO,GEORGE,147,32,1946
DR. BAY,GEORGE,7,1,56
ERMINE,FRED,9,3,135
ERMINE,GEORGE,20,6,163
ESCOBAR,GEORGE,49,6,708
FRED,GEORGE,53,16,607
GARCIA,GEORGE,8,3,116
GEORGE,GUS,6,1,46
GEORGE,KEVIN,26,9,328
GEORGE,KRISTINA,53,9,492
GEORGE,LEON,8,2,191
GEORGE,MIRTHA,68,15,802
GEORGE,PROSECUTOR,7,2,103
GEORGE,SANTIAGO,13,3,182
GEORGE,TUNA,20,9,309
KEVIN,TUNA,14,7,178
