speaker1,speaker2,line_count,scene_count,word_count
BIGGS,DULANEY,35,12,556
CARDENAS,DR. PALEY,16,3,166
CARDENAS,DR. TRAMMEL,10,2,79
CARDENAS,DULANEY,53,16,810
CARDENAS,ESTER,14,2,122
CARDENAS,JOANNE,26,3,151
CARDENAS,JUDGE BURNHAM,10,4,73
CARDENAS,MCCURDY,39,7,428
CARDENAS,REBECCA,8,2,85
CARDENAS,REESE,7,2,27
CARDENAS,ROSTON,44,9,617
CARDENAS,SATTLER,6,1,84
CARDENAS,TROXELL,11,4,136
DR. PALEY,DULANEY,26,8,264
DR. TRAMMEL,DULANEY,8,1,69
DR. WONG,DULANEY,18,4,172
DULANEY,ESTER,8,2,37
DULANEY,JOANNE,90,21,1319
DULANEY,JUDGE BURNHAM,17,7,294
DULANEY,KOEHLER,6,1,56
DULANEY,MICHAEL,16,4,148
DULANEY,MISS SELLERS,20,4,231
DULANEY,REBECCA,144,43,1866
DULANEY,ROSTON,9,2,61
DULANEY,SATTLER,10,3,162
DULANEY,SHARON,66,17,643
MICHAEL,SHARON,10,3,81
REBECCA,REESE,9,3,66
