speaker1,speaker2,line_count,scene_count,word_count
BILL,JEREMIAH,8,2,151
BILL,MAURICE,27,11,352
BILL,PATRICK,31,14,329
BILL,PEARL,11,4,161
BILL,SHOTGUN,13,3,82
BONES,JEREMIAH,27,9,439
BONES,MACK,15,4,186
BONES,PEARL,22,7,369
BONES,STANK,7,2,72
CINNABAR,PATRICK,45,11,478
CINNABAR,PEARL,41,9,703
JASON,STANK,11,4,135
JEREMIAH,LUPOVICH,22,5,266
JEREMIAH,PATRICK,27,8,349
LUPOVICH,MACK,8,3,86
LUPOVICH,SAL,6,1,90
MACK,STANK,7,2,95
MACK,WEAZE,9,2,153
MAURICE,PATRICK,26,8,461
MAURICE,PEARL,8,3,66
PATRICK,PEARL,10,4,187
PATRICK,TIA,12,5,114
