speaker1,speaker2,line_count,scene_count,word_count
DOWSER,SAM,10,5,40
DOWSER,SPOOR,32,9,192
GENT,SAM,10,2,112
GIRL,SAM,9,2,74
GIRL BUTTLE,SAM,7,1,43
HELPMANN,INTERVIEWER,14,6,241
HELPMANN,SAM,25,7,342
JACK,SAM,131,16,1536
JILL,PORTER,19,3,167
JILL,SAM,127,24,927
KURTZMAN,SAM,63,14,679
LIME,SAM,22,5,288
MATTHEWS,SAM,6,1,52
MOTHER,SAM,25,9,301
MOTHER,SPIRO,9,3,66
MRS BUTTLE,SAM,9,3,127
MRS TERRAIN,SAM,13,4,170
MRS TERRAIN,SPIRO,8,3,100
PHONE VOICE,SAM,11,3,129
PORTER,SAM,13,2,119
SAM,SPIRO,8,3,63
SAM,SPOOR,26,11,180
SAM,TUTTLE,28,7,456
