speaker1,speaker2,line_count,scene_count,word_count
AMILYN,LOTHOS,12,4,137
ANDY,BUFFY,11,5,80
ANDY,JEFFREY,12,5,94
BENNY,PIKE,42,13,360
BIKER,MERRICK,8,1,44
BUFFY,BUFFY'S MOM,9,2,50
BUFFY,CASSANDRA,12,4,105
BUFFY,JEFFREY,42,13,324
BUFFY,JENNIFER,17,8,153
BUFFY,KIMBERLY,36,13,305
BUFFY,LOTHOS,9,4,138
BUFFY,MERRICK,188,37,2434
BUFFY,NICOLE,42,16,314
BUFFY,PIKE,96,23,923
CASSANDRA,LOTHOS,10,3,155
GIRL,MAN,10,3,164
GRUELLER,WALLY,9,2,58
JEFFREY,JENNIFER,13,5,70
JENNIFER,KIMBERLY,11,5,101
JENNIFER,NICOLE,14,5,133
KIMBERLY,NICOLE,33,14,333
KIMBERLY,PIKE,7,2,45
PIKE,ZEPH,12,2,116
