speaker1,speaker2,line_count,scene_count,word_count
ANNINA,RICK,39,7,386
BERGER,LASZLO,19,7,194
CARL,RICK,23,6,175
EMIL,RICK,8,2,68
EUROPEAN,TOURIST,7,2,38
FERRARI,LASZLO,17,7,259
FERRARI,RICK,41,8,526
ILSA,LASZLO,52,20,492
ILSA,RENAULT,16,5,156
ILSA,RICK,138,31,2305
ILSA,SAM,18,4,157
ILSA,STRASSER,13,2,126
LASZLO,RENAULT,39,12,386
LASZLO,RICK,69,17,795
LASZLO,STRASSER,23,7,435
RENAULT,RICK,149,37,1895
RENAULT,STRASSER,57,21,647
RICK,SAM,43,8,364
RICK,STRASSER,24,7,249
RICK,UGARTE,28,6,383
RICK,YVONNE,11,4,72
