speaker1,speaker2,line_count,scene_count,word_count
ACE,AMY,17,6,84
ACE,AUSTIN,9,2,112
ACE,BANKER,7,2,74
ACE,CHARLIE CLARK,12,3,87
ACE,COP #1,25,8,213
ACE,FEMALE NEWSCASTER,13,4,199
ACE,FRANKIE AVALON,7,1,50
ACE,GAGGI,8,1,84
ACE,GINGER,300,58,3711
ACE,GREEN,18,6,316
ACE,JENNIFER,16,7,153
ACE,JOE,6,1,65
ACE,LESTER,30,7,377
ACE,NICKY,248,51,4012
ACE,SENATOR,24,5,211
ACE,SHERBERT,35,11,309
ACE,SIGNALER,13,3,118
ACE,STAGE MANAGER,16,1,162
ACE,STONE,28,5,595
ACE,WARD,35,5,535
ACE,WEBB,21,5,539
ACE,WINNER,7,1,104
AL,NICKY,14,3,193
AMY,LESTER,8,3,117
BORELLI,PISCANO,12,2,193
CHARLIE CLARK,NICKY,21,2,420
COP #1,COP #2,16,6,172
COP #1,GINGER,24,8,179
COWBOY,NICKY,7,2,101
COWBOY,SECURITY GUARD #1,11,3,72
DETECTIVE JOHNSON,NICKY,10,1,139
DOMINICK,NICKY,10,5,129
EDDY,JERRY,7,2,25
EDDY,NICKY,10,4,77
FBI AGENT #10,PISCANO'S WIFE,6,1,29
FBI AGENT #2,GINGER,6,1,44
GAGGI,MARINO,37,4,380
GAGGI,NICKY,23,6,242
GINGER,HIGH ROLLER,23,6,182
GINGER,JENNIFER,8,3,55
GINGER,LESTER,55,11,524
GINGER,NICKY,123,21,1514
HOTEL RECEPTIONIST,NICKY,8,1,31
JENNIFER,NICKY,15,5,127
LITTLE NICKY,NICKY,9,2,33
MARINO,NICKY,103,30,949
NICKY,TONY,17,3,135
NICKY,TONY DOGS,10,2,129
OSCAR,SENATOR,6,1,40
PISCANO,PISCANO'S MOTHER,28,4,273
SHERBERT,WINNER,8,3,65
