speaker1,speaker2,line_count,scene_count,word_count
ARLO,BRYNNER,38,9,195
ARLO,ICE CREAM ANDY,9,2,97
ARLO,LONG,16,2,119
ARLO,MASON,667,77,3394
ARLO,MASON & ARLO,11,5,19
ARLO,PAPPAS,11,3,68
ARLO,SCENE,34,14,153
ARLO,VITELLI,19,3,129
BIG RANGER,VITELLI,9,3,70
BRYNNER,CARL,8,3,115
BRYNNER,HEMMINGS,16,1,156
BRYNNER,LONG,69,5,623
BRYNNER,MASON,91,14,398
BRYNNER,PAPPAS,17,1,121
BRYNNER,SCENE,42,20,242
BRYNNER,VAUGHN,29,8,193
BRYNNER,VITELLI,24,2,213
DARLENE,LONG,15,1,146
DARLENE,MASON,18,2,163
DENNIS,SCENE,13,5,60
GOMEZ,SCENE,13,5,59
GOMEZ,VITELLI,13,5,135
LEWIS,PAPPAS,11,2,85
LEWIS,VITELLI,16,4,105
LONG,MASON,48,7,297
LONG,PUMPER,9,1,48
LONG,SWEENEY,12,2,94
MASON,PAPPAS,57,8,324
MASON,SCENE,26,9,85
MASON,VITELLI,18,5,89
SCENE,VITELLI,19,9,118
