speaker1,speaker2,line_count,scene_count,word_count
BARNEY,GITTES,10,3,118
CLERK,GITTES,13,3,111
CROSS,GITTES,106,17,1170
CROSS' VOICE,GITTES,10,1,71
CURLY,GITTES,45,10,389
DUFFY,GITTES,10,3,106
EMMA,GITTES,16,3,110
ESCOBAR,EVELYN,20,5,156
ESCOBAR,GITTES,101,24,947
EVELYN,GITTES,287,62,2796
GITTES,IDA'S VOICE,15,3,186
GITTES,MORTY,15,5,123
GITTES,MRS. MULWRAY,21,6,157
GITTES,OTHER CUSTOMER,8,2,66
GITTES,PALMER,18,5,174
GITTES,PILOT,22,4,244
GITTES,RAINMAKER,8,1,90
GITTES,SECRETARY,27,4,163
GITTES,SOPHIE,9,3,75
GITTES,SOPHIE'S VOICE,7,2,26
GITTES,THE BOY,8,2,48
GITTES,VOICE ON PHONE,7,2,34
GITTES,WALSH,23,7,288
GITTES,WALSH'S VOICE,10,2,149
GITTES,YELBURTON,38,8,568
GITTES,YOUNG WOMAN,9,1,41
