speaker1,speaker2,line_count,scene_count,word_count
BERNSTEIN,CITY EDITOR,13,3,131
BERNSTEIN,KANE,59,22,845
BERNSTEIN,LELAND,44,18,509
BERNSTEIN,THOMPSON,33,3,808
CARTER,KANE,30,7,606
CITY EDITOR,KANE,16,3,100
DR. COREY,KANE,6,1,110
EMILY,KANE,35,12,535
EMILY,LELAND,18,4,311
EMILY,ROGERS,11,5,285
KANE,LELAND,97,24,1914
KANE,MATISTI,6,1,122
KANE,RAYMOND,24,8,138
KANE,REILLY,11,3,148
KANE,ROGERS,12,5,424
KANE,SUSAN,118,25,1800
KANE,THATCHER,19,7,469
KANE,THE PRESIDENT,9,1,268
KANE SR.,MRS. KANE,13,6,183
LELAND,THOMPSON,25,4,868
MRS. KANE,THATCHER,9,4,84
PHOTOGRAPHER,THIRD NEWSPAPERMAN,8,3,115
RAWLSTON,THOMPSON,11,3,156
RAYMOND,THOMPSON,14,4,225
SUSAN,THOMPSON,26,7,471
THE CAPTAIN,THOMPSON,8,3,108
