speaker1,speaker2,line_count,scene_count,word_count
ACTIVIST,CUSTOMER,26,6,201
ACTIVIST,DANTE,25,7,376
CAITLIN,DANTE,121,11,1469
CAITLIN,RANDAL,46,6,403
CORONER,DANTE,18,5,175
CUSTOMER,DANTE,35,12,334
CUSTOMER,RANDAL,19,9,226
DANTE,HEATHER,20,7,135
DANTE,IMPATIENT CUSTOMER,9,1,175
DANTE,JAY,53,4,635
DANTE,MAN,9,2,84
DANTE,OLD MAN,32,5,339
DANTE,RANDAL,490,56,5341
DANTE,SANFORD,13,4,122
DANTE,SUITED MAN,22,6,275
DANTE,TRAINER,34,8,354
DANTE,VERONICA,197,14,2129
GIRL 1,JAY,17,6,110
GIRL 2,JAY,9,4,88
HEATHER,TRAINER,26,10,245
INDECISIVE CUSTOMER,RANDAL,16,3,140
JAY,JOHN,11,1,133
RANDAL,V.A. CUSTOMER,17,1,127
RANDAL,VERONICA,11,1,175
VERONICA,WILLAM,10,2,83
