speaker1,speaker2,line_count,scene_count,word_count
ASHBY,JAKE,36,9,510
ASHBY,LILY,21,8,266
BIG AL,JAKE,7,2,115
BUTCH,GILLETTE,8,2,158
BUTCH,JAKE,57,18,688
GORDO,JAKE,50,21,608
GORDO,LILY,10,5,66
GORDO,MILES,23,8,452
JAKE,KING PIN,47,12,621
JAKE,LILY,114,34,1526
JAKE,LIONEL,11,5,114
JAKE,LUPUS,34,10,550
JAKE,MILES,61,22,765
JAKE,MR. LEWIS,13,5,181
JAKE,ROTTOVICH,19,7,311
JAKE,SALESGIRL,15,5,205
JAKE,SOBOZINSKI,9,4,73
JAKE,SUITS,24,6,332
KING PIN,LUPUS,10,3,116
MOONAN,ROTTOVICH,13,6,196
MOONAN,SOBOZINSKI,16,5,381
ROTTOVICH,SOBOZINSKI,17,5,255
