speaker1,speaker2,line_count,scene_count,word_count
AGENT HADLEY,SAMI,36,7,561
AGENT HADLEY,SOPHIE,11,3,176
AGENT HADLEY,WAYNE,10,3,121
BASTALDI,DANIEL,21,5,275
BASTALDI,MARCEL,17,3,91
BOBBY BEANS,ZAMMITO,21,2,231
BONANNO,DANIEL,22,5,224
BONANNO,ZAMMITO,31,7,359
DANIEL,JULIEN,13,4,122
DANIEL,LAMAR,29,5,385
DANIEL,MARCEL,25,10,304
DANIEL,RAYMOND,22,9,223
DANIEL,SAMI,46,17,479
DANIEL,SOPHIE,8,3,91
DANIEL,ZERO,19,8,140
HECTOR,RAPHAEL,10,3,119
"JOEY ""TWO TONS""",UNIFORMED COP,13,2,130
"JOEY ""TWO TONS""",ZAMMITO,26,5,297
JULIEN,MARCEL,9,3,73
JULIEN,RAYMOND,14,6,123
JULIEN,SAMI,22,7,424
JULIEN,SOPHIE,11,4,99
MARCEL,RAYMOND,10,3,123
MARCEL,SAMI,31,10,298
"NICKY ""THE RAKE""",ZAMMITO,9,3,71
RAPHAEL,ZAMMITO,8,1,70
RAYMOND,SAMI,23,10,210
RAYMOND,VINNY,11,2,82
RAYMOND,WAYNE,10,4,94
SAMI,SOPHIE,43,12,390
SAMI,ZERO,17,7,221
VINNY,ZAMMITO,24,5,321
