speaker1,speaker2,line_count,scene_count,word_count
ANNETTE,AUNT HELEN,10,1,92
ANNETTE,GREG,18,4,178
ANNETTE,KATHRYN,27,4,275
ANNETTE,SEBASTIAN,210,41,1957
BLAINE,SEBASTIAN,25,2,328
CECILE,KATHRYN,78,14,715
CECILE,MRS. CALDWELL,9,3,77
CECILE,RONALD,8,3,68
CECILE,SEBASTIAN,47,14,327
DR. GREENBAUM,RACHEL,10,4,116
DR. GREENBAUM,SEBASTIAN,27,4,298
GREG,SEBASTIAN,37,8,280
KATHRYN,MRS. CALDWELL,25,6,290
KATHRYN,RONALD,23,6,234
KATHRYN,SEBASTIAN,189,46,2201
MRS. CALDWELL,RONALD,10,3,140
MRS. O'SHEA,SEBASTIAN,19,4,119
MRS. SUGERMAN,SEBASTIAN,11,3,56
NIGHT DOORMAN,SEBASTIAN,8,1,54
RONALD,SEBASTIAN,17,5,126
