speaker1,speaker2,line_count,scene_count,word_count
BUBBA,KNOX,8,3,69
CAMERON,CHARLIE,13,3,107
CHARLIE,GLORIA,21,7,299
CHARLIE,KEATING,13,4,188
CHARLIE,KNOX,34,11,367
CHARLIE,MEEKS,13,5,90
CHARLIE,NEIL,43,16,461
CHARLIE,NOLAN,15,5,197
CHARLIE,PITTS,15,6,172
CHET,CHRIS,14,6,65
CHRIS,KNOX,58,15,571
HAGER,KNOX,6,1,65
KEATING,MEEKS,13,5,300
KEATING,NEIL,28,6,617
KEATING,NOLAN,11,1,189
KEATING,TODD,26,5,239
KNOX,NEIL,12,6,149
KNOX,PITTS,12,4,131
MEEKS,NEIL,10,5,108
MR. PERRY,NEIL,21,5,279
NEIL,PITTS,11,4,60
NEIL,TODD,94,19,1028
