speaker1,speaker2,line_count,scene_count,word_count
BUGGIN' OUT,CLIFTON,13,4,162
BUGGIN' OUT,JADE,15,3,158
BUGGIN' OUT,MOOKIE,14,4,105
BUGGIN' OUT,RADIO RAHEEM,18,3,207
BUGGIN' OUT,SAL,16,6,170
COCONUT SID,ML,16,8,178
DA MAYOR,EDDIE,12,1,96
DA MAYOR,MOOKIE,8,2,30
DA MAYOR,MOTHER SISTER,23,6,313
JADE,MOOKIE,51,9,467
JADE,MOTHER SISTER,19,5,223
KOREAN CLERK,RADIO RAHEEM,8,2,39
MISTER SEŃOR LOVE DADDY,MOOKIE,8,3,105
ML,SWEET DICK WILLIE,31,11,236
MOOKIE,PINO,34,11,357
MOOKIE,RADIO RAHEEM,12,3,74
MOOKIE,SAL,65,15,578
MOOKIE,TINA,61,11,491
MOOKIE,VITO,17,5,145
PINO,SAL,34,13,428
PINO,VITO,29,7,236
SAL,VITO,12,6,61
