speaker1,speaker2,line_count,scene_count,word_count
COMMISSIONER,MORETTI,12,3,128
DRIVER,SONNY,12,5,114
HEIDI,SONNY,14,2,425
JACKIE,SONNY,9,3,94
JENNY,MAN,11,3,91
JESUS FREAK,SONNY,7,2,120
LEON,MORETTI,25,1,595
LEON,SONNY,100,2,1640
MORETTI,SHELDON,7,2,103
MORETTI,SONNY,92,14,1319
MULVANEY,SAM,11,3,63
MULVANEY,SONNY,94,31,1166
MULVANEY,SYLVIA,11,5,106
NEWSMAN,PAULINE,10,1,87
SAL,SONNY,76,23,867
SAL,SYLVIA,18,2,254
SHELDON,SONNY,36,13,404
SONNY,SYLVIA,27,11,222
SONNY,TV NEWSMAN,22,2,401
SONNY,VI,32,3,619
