speaker1,speaker2,line_count,scene_count,word_count
AUDIENCE,JIM CUNNINGHAM,9,1,98
DAVID,GRETCHEN,9,3,40
DONNIE,DR. MONNITOFF,28,5,384
DONNIE,DR. THURMAN,117,17,1354
DONNIE,EDDIE,20,6,342
DONNIE,ELIZABETH,23,5,249
DONNIE,FRANK,20,4,148
DONNIE,GRETCHEN,107,32,1055
DONNIE,JIM CUNNINGHAM,7,2,74
DONNIE,MS. FARMER,9,2,146
DONNIE,MS. POMEROY,25,7,438
DONNIE,RONALD,8,3,91
DONNIE,ROSE,19,7,255
DONNIE,SAMANTHA,9,4,66
DONNIE,SETH,8,2,56
DR. THURMAN,ROSE,14,4,141
EDDIE,ROSE,8,3,90
ELIZABETH,ROSE,14,5,149
LEROY,PRINCIPAL COLE,7,2,45
MS. FARMER,PRINCIPAL COLE,7,2,108
MS. FARMER,ROSE,17,4,370
RONALD,SEAN,17,6,139
