speaker1,speaker2,line_count,scene_count,word_count
AMBASSADOR DE SADE,GENERAL SCHMUCK,20,6,345
AMBASSADOR DE SADE,PRESIDENT MUFFLEY,48,14,701
"COLONEL ""BAT"" GUANO",MAJOR MANDRAKE,10,2,114
COLONEL GUANO,MAJOR MANDRAKE,31,5,510
COLONEL PUNTRICH,GENERAL SCHMUCK,14,6,165
COLONEL PUNTRICH,SWITCHBOARD OPERATOR,6,1,44
"GENERAL ""BUCK"" SCHMUCK",PRESIDENT MUFFLEY,14,4,291
GENERAL FACEMAN,PRESIDENT MUFFLEY,16,3,181
GENERAL JACK D. RIPPER,MAJOR MANDRAKE,46,5,526
GENERAL RIPPER,MAJOR MANDRAKE,103,16,1626
GENERAL SCHMUCK,PRESIDENT MUFFLEY,57,13,984
LT. BALLMUFF,MAJOR KONG,15,6,130
LT. QUIFFER,LT. ZOGG,8,3,65
LT. QUIFFER,MAJOR KONG,47,14,441
LT. TOEJAM,MAJOR KONG,31,12,367
LT. ZOGG,MAJOR KONG,119,27,1164
PRESIDENT MUFFLEY,VON KLUTZ,11,4,323
