speaker1,speaker2,line_count,scene_count,word_count
CALE,HARRY,9,4,73
CHING CHONG,TURK,13,5,112
HARRY,JESSICA,65,14,594
HARRY,JESSICA'S DAD,8,3,66
HARRY,LLOYD,314,89,2687
HARRY,MRS. DUNNE,20,6,176
JESSICA,LLOYD,50,18,529
JESSICA,MS. HELLER,14,3,157
JESSICA,PRINCIPAL COLLINS,16,5,184
JESSICA,TURK,7,2,51
LEWIS,LLOYD,10,2,93
LLOYD,MRS. DUNNE,14,4,99
LLOYD,MS. HELLER,9,4,86
LLOYD,RAY,9,3,121
LLOYD,TEN YEAR-OLD KID,8,1,46
LLOYD,TOBY,8,3,75
MARGIE,MS. HELLER,16,6,208
MOFFIT,ZIMMER,10,3,134
MS. HELLER,PRINCIPAL COLLINS,65,18,652
