speaker1,speaker2,line_count,scene_count,word_count
BELA,CRISWELL,12,4,137
BELA,ED,205,59,2657
BELA,HOST,8,3,95
BUNNY,ED,13,4,177
CAMERAMAN BILL,ED,13,5,103
CONRAD,ED,12,5,135
CRISWELL,ED,20,6,201
DOCTOR,ED,8,2,100
DOLORES,ED,104,24,1236
ED,GEORGIE,67,16,1151
ED,KATHY,76,21,787
ED,LORETTA,22,6,267
ED,MR. FELDMAN,18,5,292
ED,NORMA,18,5,155
ED,ORSON WELLES,14,3,249
ED,PAUL MARCO,31,11,414
ED,REVEREND LEMON,15,6,155
ED,REYNOLDS,36,10,457
ED,RUDE BOSS,8,2,88
ED,TOR,39,14,474
ED,VAMPIRA,23,7,445
ED'S VOICE,VAMPIRA,10,2,113
