speaker1,speaker2,line_count,scene_count,word_count
"""BRILL""",DEAN,27,8,256
ALBERT,DEAN,6,1,81
ALFONSO,ZAVITZ,19,3,127
BLAKE,DEAN,18,5,175
BRILL,DEAN,172,31,1474
BRILL,PATRICK,7,1,66
BRILL,SENATOR ALBERT,19,3,170
DEAN,DEPINTO,16,1,159
DEAN,DESK CLERK,9,3,48
DEAN,DYLAN,8,3,79
DEAN,ERIC,29,6,213
DEAN,FRANKIE,7,2,83
DEAN,JENNY,7,1,33
DEAN,JERRY,69,6,407
DEAN,L.T.,12,2,171
DEAN,LEVIN,12,3,78
DEAN,MAN,10,3,90
DEAN,MEG,8,1,72
DEAN,MORELOS,48,4,350
DEAN,PRATT,22,2,156
DEAN,RACHEL,72,10,487
DEAN,SAL,9,3,70
DEAN,SALES CLERK,26,2,168
DEAN,SILVERBERG,24,7,237
DEAN,STACY,115,18,956
DEAN,ZAVITZ,11,1,74
FIEDLER,REYNOLDS,7,1,79
HAMERSLEY,REYNOLDS,12,1,231
HICKS,REYNOLDS,54,9,523
MAN'S VOICE,ZAVITZ,6,1,34
MARSHAL,SHAFFER,7,2,94
REYNOLDS,WAITER,10,2,40
