speaker1,speaker2,line_count,scene_count,word_count
AUD,ERIK,79,20,560
AUD,KING ARNULF,21,8,199
ERIK,FREYA,18,5,141
ERIK,GRANDAD,11,4,60
ERIK,GRANDFATHER,13,2,74
ERIK,HELGA,57,10,453
ERIK,IVAR,10,5,44
ERIK,KEITEL,14,7,77
ERIK,KING ARNULF,54,16,517
ERIK,LOKI,9,4,67
ERIK,ODIN,10,2,85
ERIK,SNORRI,26,10,216
ERIK,SVEN,31,14,205
ERIK,SVEN'S DAD,15,7,78
ERIK,THORFINN,28,13,146
GIRL,LEIF,7,2,26
HARALD,SNORRI,12,2,106
HARALD,SVEN'S DAD,10,3,47
IVAR,THORFINN,17,6,127
KEITEL,LOKI,47,14,357
KEITEL,SNORRI,9,3,35
KEITEL,SVEN,8,2,42
SVEN,SVEN'S DAD,33,9,187
SVEN,THORFINN,13,5,67
THORFINN,THORFINN'S MUM,10,2,57
