speaker1,speaker2,line_count,scene_count,word_count
CARRIE,JOEL,21,7,202
CLEMENTINE,JOEL,428,86,5006
CLEMENTINE,MARY,8,3,41
CLEMENTINE,MIERZWIAK,8,3,312
CLEMENTINE,PATRICK,25,8,245
CLEMENTINE,VOICE-OVER,8,3,98
CLEMENTINE'S VOICE,JOEL,26,5,216
JOEL,MIERZWIAK,12,3,209
JOEL,NAOMI,45,10,394
JOEL,NAOMI'S VOICE,10,2,78
JOEL,VOICE-OVER,43,20,793
MARY,MIERZWIAK,43,11,517
MARY,PATRICK,11,4,85
MARY,STAN,74,20,623
MIERZWIAK,STAN,19,8,162
MIERZWIAK,STAN'S VOICE,8,1,70
OLD WOMAN,RECEPTIONIST,7,2,77
PATRICK,STAN,32,9,269
