speaker1,speaker2,line_count,scene_count,word_count
COOPER,JUSTIN,15,6,139
COOPER,MILLER,24,9,195
COOPER,SMITH,14,4,142
COOPER,STARCK,15,6,86
COOPER,WEIR,14,4,139
DJ,MILLER,35,13,478
DJ,PETERS,13,5,81
HOLLIS,LYLE,13,3,191
HOLLIS,WEIR,10,4,203
JUSTIN,MILLER,13,5,118
JUSTIN,PETERS,9,3,53
JUSTIN,WEIR,9,3,108
LYLE,WEIR,10,3,204
MILLER,PETERS,42,16,336
MILLER,SMITH,61,22,499
MILLER,STARCK,82,27,813
MILLER,WEIR,113,34,1378
PETERS,STARCK,14,6,79
PETERS,WEIR,22,8,233
SMITH,STARCK,22,10,215
SMITH,WEIR,17,8,167
STARCK,WEIR,34,13,411
