speaker1,speaker2,line_count,scene_count,word_count
ATTENDANT,CARL,9,3,95
CARL,GRIMSRUD,29,11,376
CARL,JERRY,55,6,686
CARL,TROOPER,9,2,75
CARL,WADE,11,2,79
CARL,WOMAN,9,2,93
CUSTOMER,JERRY,17,4,344
DETECTIVE SIBERT,MARGE,19,3,136
GARY,MAN,24,2,383
GARY,MARGE,12,2,98
HOOKER ONE,MARGE,16,3,93
HOOKER TWO,MARGE,9,2,54
JEAN,SCOTT,12,2,71
JERRY,MARGE,41,8,476
JERRY,SALESMAN,6,1,30
JERRY,SCOTT,11,3,159
JERRY,SCOTT'S VOICE,10,2,25
JERRY,SHEP,14,1,158
JERRY,STAN,21,8,307
JERRY,VOICE,51,5,523
JERRY,WADE,62,12,809
JERRY,YOUNGER MAN,11,1,127
LOU,MARGE,53,13,470
MAN,MARGE,10,3,54
MARGE,MIKE,56,7,596
MARGE,NORM,43,9,256
MARGE,SHEP,14,3,139
MARGE,VOICE,53,8,336
MARGE,WOMAN,11,1,147
STAN,WADE,10,4,90
