speaker1,speaker2,line_count,scene_count,word_count
ADULTERER,HEROINE,21,9,181
ADULTERER,TRAMPY,8,3,83
BARTENDER,BEER GUY,9,4,62
BARTENDER,BOSS MAN,12,5,101
BARTENDER,BOZO,16,7,91
BARTENDER,HEROINE,31,13,342
BARTENDER,ROADIE,14,5,76
BEER GUY,BOZO,17,7,134
BEER GUY,HEROINE,16,7,119
BEER GUY,PARA,6,1,33
BELLE,BOSS MAN,30,9,210
BOSS MAN,HEROINE,41,7,290
BOZO,GRANDPA,12,5,106
BOZO,HEROINE,31,13,192
BOZO,PARA,12,5,96
BOZO,ROADIE,12,6,70
GOLDIE,HEROINE,10,5,116
GOOD GUY,HEROINE,10,5,69
HEROINE,ROADIE,18,8,102
HEROINE,TUFFY,23,8,187
SICKLY BROWNIE,TROOP LEADER,12,3,89
