speaker1,speaker2,line_count,scene_count,word_count
BOYD,FLETCH,9,2,194
CLERK,FLETCH,11,2,108
CREASY,FLETCH,26,4,174
CUMMINGS,FLETCH,38,12,453
CUMMINGS,MR. STANWYK,9,4,190
DR. DOLEN,FLETCH,49,3,472
FAT SAM,FLETCH,32,2,231
FLETCH,GAIL,13,4,159
FLETCH,GILLETT,25,5,241
FLETCH,GUMMY,28,5,193
FLETCH,LARRY,35,10,318
FLETCH,MAN,26,6,182
FLETCH,MARGIE,7,2,40
FLETCH,MARVIN,35,9,325
FLETCH,MR. STANWYK,21,8,272
FLETCH,MRS. STANWYK,144,31,1367
FLETCH,RECORDS NURSE,25,5,234
FLETCH,STANWYK,64,10,692
FLETCH,VELMA,13,4,90
FLETCH,WAITER,27,4,225
FLETCH,WALKER,72,13,626
MR. UNDERHILL,MRS. STANWYK,10,4,67
