speaker1,speaker2,line_count,scene_count,word_count
BARNES,FRANCES,18,2,208
BEBE,CLAIRE,6,1,34
BEBE,FRANCES,15,5,226
BEBE,LAWYER,8,2,158
CLAIRE,FRANCES,15,3,226
CLIFFORD,FRANCES,15,5,142
CLURMAN,FRANCES,27,5,355
COP,FRANCES,10,2,94
DICK,FRANCES,25,2,253
DOCTOR,HARRY,11,4,134
DOYLE,FRANCES,14,3,234
DRAMA TEACHER,FRANCES,6,1,75
EDWARDS,FRANCES,8,3,85
ERNEST,FRANCES,48,12,614
ERNEST,LILLIAN,19,5,222
FIRE CHIEF,FRANCES,6,1,49
FRANCES,HARRY,230,48,2550
FRANCES,HITCHHIKER,13,4,63
FRANCES,JUDGE,16,3,222
FRANCES,JUDGE HILLIER'S WIFE,8,1,50
FRANCES,LILLIAN,85,26,1163
FRANCES,MAN,6,1,44
FRANCES,ODETS,19,5,238
FRANCES,SERGEANT,7,2,58
FRANCES,SYMINGTON,54,10,744
FRANCES,YOUNG MAN,26,5,192
KAMINSKI,YORK & CROWD,7,1,67
OLDER NURSE,YOUNG NURSE,7,1,61
