speaker1,speaker2,line_count,scene_count,word_count
ARNOLD,HAMILTON,9,4,110
ARNOLD,WASHINGTON,60,18,1184
BILLY LEE,WASHINGTON,24,7,256
CORNWALLIS,MAWHOOD,10,2,135
GENERAL LEE,WASHINGTON,10,4,119
HAMILTON,WASHINGTON,57,21,831
HORATIO GATES,WASHINGTON,6,1,97
JOHN ADAMS,SAM ADAMS,16,5,301
JOHN ADAMS,WASHINGTON,15,6,274
JOSEPH REED,NATHANAEL GREENE,14,4,153
JOSEPH REED,WASHINGTON,33,10,587
LAFAYETTE,WASHINGTON,34,11,502
MARTHA,WASHINGTON,46,11,910
NATHANAEL GREENE,WASHINGTON,42,15,708
SALLY,WASHINGTON,16,3,330
SALLY,WILLIAM,9,3,214
SALLY,YOUNG WASHINGTON,38,12,538
SAM ADAMS,WASHINGTON,15,4,219
WILLIAM,YOUNG WASHINGTON,9,4,98
